chid,job_attempt_id,subset,purpose,case_kind,batch,parent_case_id,physical_case_id,replicate_id,Q,U,Df,Af_requested_m2,burner_side_requested_m,dx,L,W,H,x_fire,T_end,rnd_seed,sensor_profile,mesh_profile,output_profile,case_group,note,status,required
e_q024_s40_x50_g25_r104729,e_q024_s40_x50_g25_r104729_a01,development_extension,s3_extension_pool,fire,DISABLED,e_q024_s40,e_q024_s40_x50,r104729,24,0,4.51351666838205,16,4,0.25,100,10,5,50,300,104729,no_wind_global_t90_v1,no_wind_symmetric_v1,light,G3_LOCKBOX,G3 preregistered extension pool; disabled by G2 freeze,FROZEN_DISABLED_BY_G2,no
e_q024_s50_x50_g25_r104729,e_q024_s50_x50_g25_r104729_a01,development_extension,s3_extension_pool,fire,DISABLED,e_q024_s50,e_q024_s50_x50,r104729,24,0,5.64189583547756,25,5,0.25,100,10,5,50,300,104729,no_wind_global_t90_v1,no_wind_symmetric_v1,light,G3_LOCKBOX,G3 preregistered extension pool; disabled by G2 freeze,FROZEN_DISABLED_BY_G2,no
e_q030_s40_x50_g25_r104729,e_q030_s40_x50_g25_r104729_a01,development_extension,s3_extension_pool,fire,DISABLED,e_q030_s40,e_q030_s40_x50,r104729,30,0,4.51351666838205,16,4,0.25,100,10,5,50,300,104729,no_wind_global_t90_v1,no_wind_symmetric_v1,light,G3_LOCKBOX,G3 preregistered extension pool; disabled by G2 freeze,FROZEN_DISABLED_BY_G2,no
e_q030_s50_x50_g25_r104729,e_q030_s50_x50_g25_r104729_a01,development_extension,s3_extension_pool,fire,DISABLED,e_q030_s50,e_q030_s50_x50,r104729,30,0,5.64189583547756,25,5,0.25,100,10,5,50,300,104729,no_wind_global_t90_v1,no_wind_symmetric_v1,light,G3_LOCKBOX,G3 preregistered extension pool; disabled by G2 freeze,FROZEN_DISABLED_BY_G2,no
