s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_N-HEPTANE,MLR_PRODUCTS
 2.1301443E+002, 7.4038251E+004,-1.8670487E+004,-5.5295791E+004,-1.7788480E+003,-4.1890599E+000, 0.0000000E+000, 0.0000000E+000,-2.1599366E+003,-1.7110645E+003, 2.6885414E+002, 1.8344946E+000,-2.6523307E-217
 2.1400485E+002, 7.4232792E+004,-2.1022305E+004,-4.8133718E+004,-1.3985737E+003,-4.2181211E+000, 0.0000000E+000, 0.0000000E+000, 5.8525598E+002, 3.6739775E+003, 2.6885414E+002, 1.8344946E+000,-5.6901952E-217
 2.1501140E+002, 8.8121562E+004,-2.5247233E+004,-5.8754900E+004,-1.7864923E+003,-4.3045805E+000, 0.0000000E+000, 0.0000000E+000, 2.7584462E+003, 2.3286323E+003, 2.6885414E+002, 1.8344946E+000,-1.2094522E-217
 2.1601051E+002, 7.9495482E+004,-2.0156700E+004,-5.8762957E+004,-1.8894776E+003,-4.2315644E+000, 0.0000000E+000, 0.0000000E+000,-9.1397258E+002,-1.3178845E+003, 2.6885414E+002, 1.8344946E+000,-4.1805220E-220
 2.1700743E+002, 7.4832007E+004,-2.1642158E+004,-5.1269578E+004,-1.6008928E+003,-4.1630439E+000, 0.0000000E+000, 0.0000000E+000,-2.3609355E+003, 3.1521531E+002, 2.6885414E+002, 1.8344946E+000,-2.4675242E-217
 2.1801160E+002, 8.7322611E+004,-2.5365623E+004,-5.6080190E+004,-1.7810449E+003,-4.2316235E+000, 0.0000000E+000, 0.0000000E+000, 4.2824406E+003, 4.0915215E+003, 2.6885414E+002, 1.8344946E+000,-1.2058085E-213
 2.1901521E+002, 7.9297476E+004,-2.0050497E+004,-6.1810993E+004,-1.7280107E+003,-4.2113627E+000, 0.0000000E+000, 0.0000000E+000,-3.1115195E+003,-4.2962357E+003, 2.6885414E+002, 1.8344946E+000,-2.3464889E-212
 2.2001689E+002, 7.2727313E+004,-2.0669175E+004,-5.1451160E+004,-1.4198665E+003,-4.1841420E+000, 0.0000000E+000, 0.0000000E+000,-3.1145145E+003,-8.1707248E+002, 2.6885414E+002, 1.8344946E+000,-1.3595688E-213
 2.2101447E+002, 8.6935001E+004,-2.4797423E+004,-5.7222052E+004,-1.6817927E+003,-4.2782453E+000, 0.0000000E+000, 0.0000000E+000, 2.8665063E+003, 3.2294548E+003, 2.6885414E+002, 1.8344946E+000,-2.0420300E-216
 2.2200656E+002, 8.0407267E+004,-2.0798656E+004,-6.0951905E+004,-1.9542399E+003,-4.2714744E+000, 0.0000000E+000, 0.0000000E+000,-1.8481826E+003,-3.3018052E+003, 2.6885414E+002, 1.8344946E+000,-2.6631484E-218
