s,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,kW,kW/m2,kW/m2,kW/m2
Time,"T_1500","T_2000","T_2500","T_3000","T_3250","T_3500","T_3750","T_4000","T_4250","T_4500","T_4750","T_5000","T_5250","T_5500","T_5750","T_6000","T_6250","T_6500","T_6750","T_7000","T_7500","T_8000","T_8500","U_1500","U_2000","U_2500","U_3000","U_3250","U_3500","U_3750","U_4000","U_4250","U_4500","U_4750","U_5000","U_5250","U_5500","U_5750","U_6000","U_6250","U_6500","U_6750","U_7000","U_7500","U_8000","U_8500","HRR_tot","Qw_4000","Qw_5000","Qw_6000"
 0.0000000E+000, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 4.3453394E-003,-1.0183607E-002,-3.2076347E-003,-3.8646752E-003, 3.6906797E-003, 4.6538864E-003,-4.4241288E-003, 7.6502705E-003, 6.3414858E-003, 5.8001672E-003,-7.5055279E-004, 5.3704411E-004, 1.2801132E-003, 0.0000000E+000, 4.7951269E-003,-3.7035184E-003,-1.9765180E-003,-8.6763799E-004, 7.2185776E-003, 1.2851740E-002,-3.8971496E-003, 1.4505965E-003, 7.6829723E-003, 0.0000000E+000,-1.2741807E-003,-1.2290226E-003,-1.2655869E-003
 1.0710652E+000, 2.0000001E+001, 1.9999980E+001, 1.9999978E+001, 1.9999977E+001, 1.9999977E+001, 1.9999982E+001, 1.9999977E+001, 1.9999973E+001, 1.9999973E+001, 2.0000000E+001, 1.9999962E+001, 1.9999970E+001, 1.9999962E+001, 1.9999940E+001, 1.9999960E+001, 1.9999973E+001, 1.9999944E+001, 1.9999972E+001, 1.9999960E+001, 1.9999980E+001, 1.9999957E+001, 1.9999963E+001, 1.9999975E+001, 4.3889762E-003,-1.0153556E-002,-3.0997431E-003,-3.7766643E-003, 3.6423207E-003, 4.6176745E-003,-4.3952587E-003, 7.6206089E-003, 6.2697129E-003, 5.6853373E-003,-2.2025820E-003, 5.3447522E-004, 2.4299609E-003, 6.5447672E-004, 4.7420506E-003,-3.6261773E-003,-1.9994289E-003,-8.8709327E-004, 7.1576818E-003, 1.2787718E-002,-3.8263357E-003, 1.4195605E-003, 7.7217051E-003, 4.0446792E+002,-1.7474024E-004,-1.6777732E-004,-1.6803223E-004
 2.0485220E+000, 2.0000012E+001, 1.9999957E+001, 1.9999944E+001, 1.9999941E+001, 1.9999939E+001, 1.9999957E+001, 1.9999939E+001, 1.9999927E+001, 1.9999927E+001, 2.0000015E+001, 1.9999884E+001, 1.9999896E+001, 1.9999881E+001, 1.9999830E+001, 1.9999885E+001, 1.9999927E+001, 1.9999837E+001, 1.9999925E+001, 1.9999884E+001, 1.9999949E+001, 1.9999877E+001, 1.9999900E+001, 1.9999932E+001, 5.1827651E-003,-1.0079125E-002,-2.9272880E-003,-3.6412575E-003, 3.5557631E-003, 4.5285266E-003,-4.7028890E-003, 6.8947263E-003, 4.6431575E-003, 2.6740711E-003,-1.1369898E-002, 7.2046759E-005, 1.0420510E-002, 6.1849781E-003, 6.1281720E-003,-2.8584300E-003,-1.7421352E-003,-8.8687504E-004, 7.0734454E-003, 1.2688923E-002,-3.7151018E-003, 1.3719426E-003, 7.7814681E-003, 1.4504715E+003,-1.1515114E-004,-1.0996841E-004,-1.1017180E-004
 3.0235664E+000, 2.0000039E+001, 1.9999967E+001, 1.9999936E+001, 1.9999929E+001, 1.9999921E+001, 1.9999955E+001, 1.9999924E+001, 1.9999910E+001, 1.9999909E+001, 2.0000052E+001, 2.0007762E+001, 2.0013521E+001, 2.0006441E+001, 2.0005074E+001, 1.9999842E+001, 1.9999907E+001, 1.9999766E+001, 1.9999905E+001, 1.9999834E+001, 1.9999938E+001, 1.9999825E+001, 1.9999868E+001, 1.9999909E+001, 4.2542947E-002,-2.5991329E-003,-7.5083698E-004,-4.2699871E-003, 1.9934115E-003, 1.8853143E-003,-1.2300363E-002,-3.0979651E-003,-8.8901870E-003,-1.7492213E-002,-3.9970232E-002, 4.0507962E-005, 3.9109149E-002, 2.7417753E-002, 1.8778824E-002, 6.5781478E-003, 5.2950060E-003, 1.6269689E-003, 8.5136711E-003, 1.3500229E-002,-3.4937011E-003, 1.3581563E-003, 7.8353822E-003, 2.3357865E+003, 1.1637728E-004, 6.4772499E-001,-2.9118702E-005
 4.0179213E+000, 2.0000005E+001, 2.0000010E+001, 1.9999950E+001, 1.9999979E+001, 1.9999985E+001, 2.0000061E+001, 2.0000490E+001, 2.0002143E+001, 2.0009543E+001, 2.0024330E+001, 2.0151370E+001, 2.0256482E+001, 2.0141705E+001, 2.0073904E+001, 2.0012895E+001, 2.0002878E+001, 2.0000381E+001, 1.9999990E+001, 1.9999857E+001, 1.9999967E+001, 1.9999790E+001, 1.9999855E+001, 1.9999900E+001, 2.2150222E-001, 1.2749078E-001, 9.9689429E-002, 4.2645426E-002, 3.7526979E-002, 2.7640027E-002,-9.8006479E-003,-8.0848871E-003,-2.4658248E-002,-6.7250911E-002,-1.6141881E-001, 1.7310509E-002, 1.8285989E-001, 1.0136650E-001, 6.2537993E-002, 4.4084607E-002, 4.0627337E-002, 3.0033859E-002, 3.4458360E-002, 3.6900956E-002, 1.1426863E-002, 1.2790797E-002, 1.4491352E-002, 3.2533739E+003, 3.3341879E-002, 3.0434784E+000, 3.5491577E-002
 5.0045632E+000, 1.9999891E+001, 2.0000011E+001, 1.9999959E+001, 2.0000342E+001, 2.0000607E+001, 2.0001264E+001, 2.0003186E+001, 2.0010637E+001, 2.0045590E+001, 2.0124761E+001, 4.1685930E+001, 1.1908775E+002, 4.0837185E+001, 2.0208840E+001, 2.0050717E+001, 2.0011935E+001, 2.0003318E+001, 2.0001177E+001, 2.0000525E+001, 2.0000231E+001, 1.9999755E+001, 1.9999902E+001, 1.9999905E+001, 3.9610381E-001, 3.5023525E-001, 3.4140961E-001, 3.0872186E-001, 3.0836077E-001, 3.0332590E-001, 2.6782127E-001, 2.6724972E-001, 2.3460036E-001, 8.8392989E-002,-1.4910720E+000, 1.0838206E+000, 2.4366061E+000, 5.6410301E-001, 3.7368481E-001, 3.3250403E-001, 3.2454218E-001, 2.9924370E-001, 2.9957267E-001, 2.9643338E-001, 2.5883890E-001, 2.5535759E-001, 2.4768911E-001, 4.0365982E+003, 4.1225189E-002, 6.8862644E+000, 3.7072799E-002
 6.0023594E+000, 1.9999856E+001, 1.9999948E+001, 2.0000044E+001, 2.0000584E+001, 2.0001259E+001, 2.0002614E+001, 2.0005705E+001, 2.0018521E+001, 2.0079238E+001, 2.4302502E+001, 1.0679672E+002, 1.6997513E+002, 1.3714216E+002, 7.2945268E+001, 2.0136920E+001, 2.0034560E+001, 2.0008882E+001, 2.0003360E+001, 2.0001805E+001, 2.0000809E+001, 1.9999957E+001, 2.0000004E+001, 1.9999887E+001, 5.9851655E-001, 6.1377189E-001, 6.2526599E-001, 6.4772499E-001, 6.5282530E-001, 6.6232351E-001, 6.6522065E-001, 6.7162158E-001, 6.2938512E-001,-1.7022888E-001,-4.2932088E+000,-3.4854261E+000, 8.4402805E+000, 4.7888947E+000, 1.0776951E+000, 9.4759572E-001, 9.3083708E-001, 9.3217948E-001, 9.3709236E-001, 9.3745199E-001, 9.4933947E-001, 9.5367876E-001, 9.6549429E-001, 4.8030486E+003, 5.1386712E-002, 8.7883108E+000, 6.2761628E-002
 7.0064917E+000, 1.9999953E+001, 1.9999951E+001, 2.0000210E+001, 2.0000816E+001, 2.0001922E+001, 2.0003627E+001, 2.0007445E+001, 2.0022789E+001, 2.0098709E+001, 5.1933480E+001, 1.0085608E+002, 1.3814664E+002, 2.4316014E+002, 1.2154629E+002, 5.1467984E+001, 2.0749362E+001, 2.0023535E+001, 2.0008138E+001, 2.0003645E+001, 2.0001780E+001, 2.0000278E+001, 2.0000140E+001, 1.9999917E+001, 7.0855022E-001, 7.4166632E-001, 7.5528711E-001, 7.9202684E-001, 7.9396253E-001, 7.9476882E-001, 8.0830170E-001, 8.0425087E-001, 7.1330246E-001,-3.1449980E+000,-2.8188773E+000,-5.0741026E+000, 4.5246543E+000, 7.1917238E+000, 4.5120156E+000, 1.6364978E+000, 1.1570165E+000, 1.1613841E+000, 1.1543862E+000, 1.1590711E+000, 1.1786841E+000, 1.1801646E+000, 1.1959122E+000, 5.5055504E+003, 5.8517522E-002, 8.3659021E+000, 1.1298296E-001
 8.0073458E+000, 1.9999938E+001, 1.9999939E+001, 2.0000249E+001, 2.0001299E+001, 2.0002557E+001, 2.0005088E+001, 2.0010451E+001, 2.0030020E+001, 2.0244652E+001, 4.9709952E+001, 7.5377416E+001, 8.3388431E+001, 2.3861551E+002, 9.7458553E+001, 8.3490955E+001, 4.6726987E+001, 3.5231204E+001, 2.0016192E+001, 2.0006722E+001, 2.0003283E+001, 2.0000700E+001, 2.0000159E+001, 2.0000115E+001, 7.1019316E-001, 7.0718201E-001, 6.9334002E-001, 6.8186043E-001, 6.7668833E-001, 6.7560225E-001, 6.5877249E-001, 6.2627410E-001, 3.1254622E-001,-2.3007983E+000,-4.6402572E+000,-5.5659224E+000, 1.5018265E+000, 5.8839602E+000, 4.9538241E+000, 4.6559034E+000, 3.0817758E+000, 8.8257021E-001, 8.5326254E-001, 8.3688560E-001, 8.1948965E-001, 8.1435369E-001, 8.0311930E-001, 6.3874441E+003, 7.7028354E-002, 9.5562645E+000, 9.3438227E-001
 9.0005751E+000, 1.9999918E+001, 1.9999962E+001, 2.0000334E+001, 2.0001940E+001, 2.0003711E+001, 2.0007485E+001, 2.0015777E+001, 2.0044866E+001, 3.8694658E+001, 4.9086586E+001, 5.8546213E+001, 1.8374835E+002, 1.8418834E+002, 1.4977953E+002, 8.5918979E+001, 6.2766883E+001, 4.6050623E+001, 3.6595693E+001, 2.0012292E+001, 2.0005643E+001, 2.0001186E+001, 2.0000214E+001, 1.9999966E+001, 7.5898208E-001, 7.2798849E-001, 7.0824952E-001, 6.7276584E-001, 6.6229957E-001, 6.5342338E-001, 6.2749742E-001, 5.1882041E-001,-1.5572873E+000,-2.8123741E+000,-1.4632294E+000,-3.9727391E+000, 2.0946969E+000, 4.7134497E+000, 4.7458281E+000, 3.4805297E+000, 3.9717309E+000, 2.9901218E+000, 8.6269742E-001, 7.9465748E-001, 7.6941767E-001, 7.6134796E-001, 7.5385581E-001, 6.7968900E+003, 1.0175147E-001, 9.7569688E+000, 8.9153707E-001
 1.0000277E+001, 1.9999974E+001, 2.0000001E+001, 2.0000469E+001, 2.0002145E+001, 2.0004724E+001, 2.0009870E+001, 2.0020415E+001, 2.0193079E+001, 5.3439822E+001, 5.7434628E+001, 1.0936481E+002, 1.9199262E+002, 2.3887373E+002, 1.6421858E+002, 1.0526679E+002, 8.7846101E+001, 5.1377328E+001, 4.3132250E+001, 3.4355008E+001, 2.0013415E+001, 2.0001929E+001, 2.0000310E+001, 2.0000031E+001, 9.4505536E-001, 9.5464630E-001, 9.5940188E-001, 9.7027013E-001, 9.7402134E-001, 9.6715302E-001, 9.5282161E-001, 5.9684826E-001,-2.0546629E+000,-1.7135834E+000,-3.2447033E+000,-6.1413490E+000, 5.6177872E+000, 6.4284552E+000, 5.9489382E+000, 5.0462409E+000, 3.1273558E+000, 3.5974125E+000, 3.3044487E+000, 1.3731938E+000, 1.2971074E+000, 1.2933204E+000, 1.2935232E+000, 7.2114995E+003, 1.0101387E-001, 1.0679770E+001, 1.4730596E+000
