s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_N-HEPTANE,MLR_PRODUCTS
 1.1301299E+002, 3.9011029E+004,-1.1140436E+004,-3.0135211E+004,-2.7903997E+003,-2.2291073E+000, 0.0000000E+000, 0.0000000E+000,-2.0655938E+003,-5.0572464E+003, 1.4936341E+002, 9.1722094E-001,-4.2398757E-180
 1.1400059E+002, 3.2092588E+004,-1.0089338E+004,-1.4658122E+004,-1.7833954E+003,-2.1730623E+000, 0.0000000E+000, 0.0000000E+000,-1.0764503E+003, 5.5595589E+003, 1.4936341E+002, 9.1722094E-001,-6.2577428E-181
 1.1501551E+002, 4.8048621E+004,-1.6573195E+004,-2.1117089E+004,-2.0998584E+003,-2.2705003E+000, 0.0000000E+000, 0.0000000E+000, 4.8612778E+003, 8.2562087E+003, 1.4936341E+002, 9.1722094E-001,-2.1499277E-181
 1.1601188E+002, 3.9726099E+004,-1.1288693E+004,-2.9377243E+004,-2.7877884E+003,-2.2414970E+000, 0.0000000E+000, 0.0000000E+000,-8.9474051E+002,-3.7298675E+003, 1.4936341E+002, 9.1722094E-001,-3.5079886E-181
 1.1702126E+002, 3.3238538E+004,-1.0943064E+004,-1.4478359E+004,-1.8889056E+003,-2.1887132E+000, 0.0000000E+000, 0.0000000E+000,-1.1017987E+003, 5.9260210E+003, 1.4936341E+002, 9.1722094E-001,-6.6197796E-183
 1.1800911E+002, 4.7936209E+004,-1.6481427E+004,-2.3305091E+004,-2.2765189E+003,-2.2885639E+000, 0.0000000E+000, 0.0000000E+000, 3.6376284E+003, 5.8708830E+003, 1.4936341E+002, 9.1722094E-001,-5.3477296E-184
 1.1901850E+002, 3.8293362E+004,-1.0937999E+004,-2.9486489E+004,-2.7987154E+003,-2.2584970E+000, 0.0000000E+000, 0.0000000E+000,-2.3028379E+003,-4.9320996E+003, 1.4936341E+002, 9.1722094E-001,-5.2001266E-185
 1.2002315E+002, 3.4889379E+004,-1.1574980E+004,-1.4974544E+004,-1.8261918E+003,-2.2061520E+000, 0.0000000E+000, 0.0000000E+000,-4.8745902E+002, 6.5114565E+003, 1.4936341E+002, 9.1722094E-001,-1.2268801E-185
 1.2100683E+002, 4.6583850E+004,-1.5533404E+004,-2.2379080E+004,-2.1387028E+003,-2.2573967E+000, 0.0000000E+000, 0.0000000E+000, 3.6707970E+003, 6.5304058E+003, 1.4936341E+002, 9.1722094E-001,-2.5941671E-186
 1.2200967E+002, 3.8301049E+004,-1.1091334E+004,-3.1725195E+004,-2.8576108E+003,-2.2486382E+000, 0.0000000E+000, 0.0000000E+000,-4.0830204E+003,-7.3753390E+003, 1.4936341E+002, 9.1722094E-001,-9.5235634E-185
 1.2301483E+002, 3.3144161E+004,-1.0948463E+004,-1.5974991E+004,-1.9091722E+003,-2.1697445E+000, 0.0000000E+000, 0.0000000E+000,-1.9733861E+003, 4.3093655E+003, 1.4936341E+002, 9.1722094E-001,-3.0315494E-183
 1.2400920E+002, 4.6790820E+004,-1.6143363E+004,-1.9788032E+004,-2.0672396E+003,-2.2398313E+000, 0.0000000E+000, 0.0000000E+000, 4.7894793E+003, 8.7899449E+003, 1.4936341E+002, 9.1722094E-001,-5.2963596E-182
 1.2501868E+002, 4.0746532E+004,-1.1709741E+004,-3.1554706E+004,-2.8709481E+003,-2.2292871E+000, 0.0000000E+000, 0.0000000E+000,-1.5139962E+003,-5.3910920E+003, 1.4936341E+002, 9.1722094E-001,-4.0302610E-181
 1.2601289E+002, 3.3676891E+004,-1.0681467E+004,-1.6683906E+004,-1.9388183E+003,-2.1674604E+000, 0.0000000E+000, 0.0000000E+000,-1.0739050E+003, 4.3705321E+003, 1.4936341E+002, 9.1722094E-001,-9.7811717E-180
 1.2701504E+002, 4.4659104E+004,-1.4863016E+004,-1.9979785E+004,-2.0030522E+003,-2.2253003E+000, 0.0000000E+000, 0.0000000E+000, 3.5215736E+003, 7.8110253E+003, 1.4936341E+002, 9.1722094E-001,-3.8992432E-179
 1.2800746E+002, 4.1477843E+004,-1.2159659E+004,-3.2151877E+004,-2.7454318E+003,-2.2280549E+000, 0.0000000E+000, 0.0000000E+000,-2.0874543E+003,-5.5813531E+003, 1.4936341E+002, 9.1722094E-001,-4.3237317E-178
