s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_N-HEPTANE,MLR_PRODUCTS
 1.3001202E+002, 1.0033271E+004,-3.3894821E+003,-4.8413120E+003,-1.3996054E+003,-5.8364168E-001, 0.0000000E+000, 0.0000000E+000, 3.8939466E+002, 4.0228757E+002, 5.9760974E+001, 2.2930294E-001,-1.5609989E-002
 1.3102119E+002, 1.0043354E+004,-3.3791273E+003,-4.9512946E+003,-1.3798063E+003,-5.8469785E-001, 0.0000000E+000, 0.0000000E+000, 3.1925916E+002, 3.3254165E+002, 5.9757425E+001, 2.2930294E-001,-1.2061042E-002
 1.3202766E+002, 1.0031765E+004,-3.3103633E+003,-5.0233660E+003,-1.3878744E+003,-5.8342324E-001, 0.0000000E+000, 0.0000000E+000, 3.4193858E+002, 3.0957836E+002, 5.9754392E+001, 2.2930294E-001,-9.0287719E-003
 1.3300601E+002, 9.9400075E+003,-3.2553809E+003,-5.2318868E+003,-1.4200698E+003,-5.7779178E-001, 0.0000000E+000, 0.0000000E+000, 1.6762049E+002, 3.2092260E+001, 5.9755913E+001, 2.2930294E-001,-1.0549438E-002
 1.3402654E+002, 1.0047595E+004,-3.3630421E+003,-5.4642174E+003,-1.4351906E+003,-5.7615832E-001, 0.0000000E+000, 0.0000000E+000,-1.2744549E+002,-2.1543121E+002, 5.9758381E+001, 2.2930294E-001,-1.3016844E-002
 1.3501613E+002, 1.0007023E+004,-3.3643222E+003,-5.4744906E+003,-1.4381068E+003,-5.7982954E-001, 0.0000000E+000, 0.0000000E+000,-1.8138354E+002,-2.7047680E+002, 5.9759997E+001, 2.2930294E-001,-1.4633241E-002
 1.3600574E+002, 9.9882122E+003,-3.3628572E+003,-5.2722865E+003,-1.4296367E+003,-5.7506072E-001, 0.0000000E+000, 0.0000000E+000, 1.0626673E+000,-7.7143389E+001, 5.9759860E+001, 2.2930294E-001,-1.4495811E-002
 1.3701300E+002, 9.9864875E+003,-3.3357334E+003,-5.2847197E+003,-1.4058212E+003,-5.7593719E-001, 0.0000000E+000, 0.0000000E+000, 6.5293480E+000,-4.0362807E+001, 5.9756234E+001, 2.2930294E-001,-1.0870576E-002
 1.3801059E+002, 1.0031544E+004,-3.3484076E+003,-5.1967588E+003,-1.3840512E+003,-5.7965853E-001, 0.0000000E+000, 0.0000000E+000, 1.0298385E+002, 1.0174711E+002, 5.9753434E+001, 2.2930294E-001,-8.0702121E-003
 1.3901831E+002, 9.9677426E+003,-3.3022918E+003,-5.1230567E+003,-1.4042418E+003,-5.7292464E-001, 0.0000000E+000, 0.0000000E+000, 1.4432825E+002, 1.3757936E+002, 5.9757742E+001, 2.2930294E-001,-1.2378739E-002
 1.4001505E+002, 9.9703978E+003,-3.2563340E+003,-5.1402203E+003,-1.4144508E+003,-5.7017395E-001, 0.0000000E+000, 0.0000000E+000, 1.4656976E+002, 1.5882250E+002, 5.9761085E+001, 2.2930294E-001,-1.5721441E-002
 1.4101965E+002, 1.0027320E+004,-3.3987832E+003,-5.1640810E+003,-1.4124792E+003,-5.7793147E-001, 0.0000000E+000, 0.0000000E+000, 7.0077468E+001, 5.1398672E+001, 5.9759918E+001, 2.2930294E-001,-1.4553959E-002
 1.4201596E+002, 9.9985142E+003,-3.3057176E+003,-5.0871764E+003,-1.4064893E+003,-5.7331947E-001, 0.0000000E+000, 0.0000000E+000, 2.1070960E+002, 1.9855763E+002, 5.9757208E+001, 2.2930294E-001,-1.1844053E-002
 1.4301227E+002, 9.9751310E+003,-3.2797292E+003,-5.2527111E+003,-1.4058418E+003,-5.7778335E-001, 0.0000000E+000, 0.0000000E+000, 7.8786273E+001, 3.6271062E+001, 5.9756781E+001, 2.2930294E-001,-1.1416868E-002
 1.4401691E+002, 1.0027459E+004,-3.3608844E+003,-5.1816198E+003,-1.3932250E+003,-5.7570312E-001, 0.0000000E+000, 0.0000000E+000, 1.4714277E+002, 9.1153633E+001, 5.9757838E+001, 2.2930294E-001,-1.2474769E-002
 1.4500168E+002, 1.0006104E+004,-3.3492831E+003,-5.1593814E+003,-1.3813247E+003,-5.7430743E-001, 0.0000000E+000, 0.0000000E+000, 1.5446083E+002, 1.1554066E+002, 5.9756575E+001, 2.2930294E-001,-1.1211162E-002
 1.4601678E+002, 9.9852407E+003,-3.3128146E+003,-4.9874539E+003,-1.3730925E+003,-5.7586113E-001, 0.0000000E+000, 0.0000000E+000, 3.6010725E+002, 3.1130384E+002, 5.9752063E+001, 2.2930294E-001,-6.6991366E-003
 1.4701685E+002, 9.9866373E+003,-3.3071164E+003,-4.9689715E+003,-1.3722244E+003,-5.7160611E-001, 0.0000000E+000, 0.0000000E+000, 4.0698140E+002, 3.3775339E+002, 5.9752109E+001, 2.2930294E-001,-6.7450739E-003
 1.4800938E+002, 1.0023568E+004,-3.3552188E+003,-5.0192102E+003,-1.3813263E+003,-5.7527727E-001, 0.0000000E+000, 0.0000000E+000, 3.3005326E+002, 2.6723742E+002, 5.9757480E+001, 2.2930294E-001,-1.2115969E-002
 1.4902797E+002, 1.0008031E+004,-3.3040319E+003,-5.1479559E+003,-1.3768582E+003,-5.7822896E-001, 0.0000000E+000, 0.0000000E+000, 2.0445699E+002, 1.7860681E+002, 5.9763542E+001, 2.2930294E-001,-1.8178451E-002
 1.5001471E+002, 1.0003437E+004,-3.2975535E+003,-5.1637189E+003,-1.3729288E+003,-5.7470013E-001, 0.0000000E+000, 0.0000000E+000, 2.2951462E+002, 1.6866108E+002, 5.9760126E+001, 2.2930294E-001,-1.4762739E-002
 1.5100325E+002, 1.0015841E+004,-3.3071012E+003,-5.2051845E+003,-1.3958190E+003,-5.8436052E-001, 0.0000000E+000, 0.0000000E+000, 1.5351592E+002, 1.0715188E+002, 5.9756575E+001, 2.2930294E-001,-1.1211251E-002
 1.5200197E+002, 9.9584963E+003,-3.2980232E+003,-5.2221678E+003,-1.4048418E+003,-5.7716071E-001, 0.0000000E+000, 0.0000000E+000, 6.3897574E+001, 3.2886316E+001, 5.9759791E+001, 2.2930294E-001,-1.4427671E-002
 1.5301196E+002, 9.9923574E+003,-3.3118135E+003,-5.1841280E+003,-1.4109541E+003,-5.7855663E-001, 0.0000000E+000, 0.0000000E+000, 1.0695815E+002, 8.4883354E+001, 5.9761876E+001, 2.2930294E-001,-1.6512753E-002
 1.5400963E+002, 1.0028501E+004,-3.3048437E+003,-5.0785445E+003,-1.4079231E+003,-5.7666440E-001, 0.0000000E+000, 0.0000000E+000, 2.7090925E+002, 2.3661264E+002, 5.9760627E+001, 2.2930294E-001,-1.5263530E-002
 1.5502286E+002, 9.9680347E+003,-3.2333246E+003,-5.0703579E+003,-1.4127740E+003,-5.6775102E-001, 0.0000000E+000, 0.0000000E+000, 3.0545203E+002, 2.5101029E+002, 5.9757857E+001, 2.2930294E-001,-1.2492821E-002
 1.5601106E+002, 9.9932728E+003,-3.3399054E+003,-5.1145316E+003,-1.4349323E+003,-5.6638640E-001, 0.0000000E+000, 0.0000000E+000, 1.6059930E+002, 1.0333711E+002, 5.9757234E+001, 2.2930294E-001,-1.1869820E-002
 1.5702026E+002, 1.0013942E+004,-3.3491252E+003,-5.3502192E+003,-1.4168878E+003,-5.7106142E-001, 0.0000000E+000, 0.0000000E+000,-1.7516484E+001,-1.0286102E+002, 5.9759015E+001, 2.2930294E-001,-1.3651159E-002
 1.5802946E+002, 1.0016073E+004,-3.3624788E+003,-5.3412906E+003,-1.4010453E+003,-5.7531184E-001, 0.0000000E+000, 0.0000000E+000,-2.5095312E+001,-8.9317073E+001, 5.9765825E+001, 2.2930294E-001,-2.0460997E-002
 1.5900610E+002, 9.9623561E+003,-3.3237228E+003,-5.3542836E+003,-1.3983731E+003,-5.7072435E-001, 0.0000000E+000, 0.0000000E+000,-6.8952736E+001,-1.1459413E+002, 5.9770762E+001, 2.2930294E-001,-2.5398491E-002
 1.6001529E+002, 9.9807134E+003,-3.2857829E+003,-5.3960591E+003,-1.3945968E+003,-5.7991137E-001, 0.0000000E+000, 0.0000000E+000,-6.4663684E+001,-9.6305271E+001, 5.9767143E+001, 2.2930294E-001,-2.1779298E-002
 1.6101686E+002, 1.0072203E+004,-3.3343777E+003,-5.4822890E+003,-1.3760757E+003,-5.8039799E-001, 0.0000000E+000, 0.0000000E+000,-9.8653435E+001,-1.2111987E+002, 5.9762556E+001, 2.2930294E-001,-1.7192652E-002
 1.6201971E+002, 9.9791375E+003,-3.2851268E+003,-5.4199713E+003,-1.3706619E+003,-5.7943725E-001, 0.0000000E+000, 0.0000000E+000,-6.4657821E+001,-9.7201899E+001, 5.9762763E+001, 2.2930294E-001,-1.7399413E-002
