chid,status,reason,t_steady_start,t_steady_end,avg_t0,avg_t1,enthalpy_flux_criterion,window_s,smooth_s,min_steady_s,thr_hrr_rel,thr_tmax_C_per_s,thr_rep_C_per_s,thr_backflow_m_per_s,thr_enthalpy_rel_drift
gsA_c,PASS,检测到准稳态趋势窗,176.02147,206.01043,176.02147,206.01043,CHECKED_FIELD_PROFILE,90.0,15.0,30.0,0.15,0.15,0.15,0.05,0.05
gsA_m,PASS,检测到准稳态趋势窗,231.00583,260.01017,231.00583,260.01017,CHECKED_FIELD_PROFILE,90.0,15.0,30.0,0.15,0.15,0.15,0.05,0.05
gsA_f,PASS,检测到准稳态趋势窗,241.00578,270.00345,241.00578,270.00345,CHECKED_FIELD_PROFILE,90.0,15.0,30.0,0.15,0.15,0.15,0.05,0.05
gsB_c,PASS,检测到准稳态趋势窗,185.00638,215.00307,185.00638,215.00307,CHECKED_FIELD_PROFILE,90.0,15.0,30.0,0.15,0.15,0.15,0.05,0.05
gsB_m,PASS,检测到准稳态趋势窗,91.00097,120.00293,91.00097,120.00293,CHECKED_FIELD_PROFILE,90.0,15.0,30.0,0.15,0.15,0.15,0.05,0.05
gsB_f,PASS,检测到准稳态趋势窗,212.00238,241.00298,212.00238,241.00298,CHECKED_FIELD_PROFILE,90.0,15.0,30.0,0.15,0.15,0.15,0.05,0.05
gsC_c,PASS,检测到准稳态趋势窗,83.00973,112.00554,83.00973,112.00554,CHECKED_FIELD_PROFILE,90.0,15.0,30.0,0.15,0.15,0.15,0.05,0.05
gsC_m,PASS,检测到准稳态趋势窗,143.00479,172.00359,143.00479,172.00359,CHECKED_FIELD_PROFILE,90.0,15.0,30.0,0.15,0.15,0.15,0.05,0.05
gsC_f,PASS,检测到准稳态趋势窗,180.00251,210.0014,180.00251,210.0014,CHECKED_FIELD_PROFILE,90.0,15.0,30.0,0.15,0.15,0.15,0.05,0.05
