chid,group,dx,t0,t1,x_m,C_T_bar_J_per_m,J_T_bar_W
gsB_f,grid_mid_crit,0.125,212.00238,241.00298,22.0,122.95407975379943,295.14045184474094
gsB_f,grid_mid_crit,0.125,212.00238,241.00298,29.0,1121.1200736441506,2672.325485170472
gsB_f,grid_mid_crit,0.125,212.00238,241.00298,39.5,1316313.2025026528,142859.3927932779
gsB_f,grid_mid_crit,0.125,212.00238,241.00298,46.5,1362262.3133003186,242946.6817908442
gsB_f,grid_mid_crit,0.125,212.00238,241.00298,50.0,2497678.2757617454,4494550.08405079
gsB_f,grid_mid_crit,0.125,212.00238,241.00298,53.5,4316200.491590749,13841681.883225815
gsB_f,grid_mid_crit,0.125,212.00238,241.00298,60.5,7118199.951270315,29557711.440398484
gsB_f,grid_mid_crit,0.125,212.00238,241.00298,71.0,7237631.478629182,31234844.308762077
gsB_f,grid_mid_crit,0.125,212.00238,241.00298,78.0,6827389.214760802,29621036.97734901
gsB_f,grid_mid_crit,0.125,212.00238,241.00298,85.0,6827633.723003407,29291001.432234664
gsC_c,grid_high_strong,0.5,83.00973,112.00554,15.0,22.92905983452304,91.27890097010282
gsC_c,grid_high_strong,0.5,83.00973,112.00554,22.0,148.31299909417282,624.0765985043255
gsC_c,grid_high_strong,0.5,83.00973,112.00554,29.0,915.6734480571548,3884.4441540186144
gsC_c,grid_high_strong,0.5,83.00973,112.00554,39.5,10533.141247420841,45090.14891041234
gsC_c,grid_high_strong,0.5,83.00973,112.00554,46.5,170637.12481501405,646922.839225677
gsC_c,grid_high_strong,0.5,83.00973,112.00554,50.0,2662610.902124614,16543195.860316882
gsC_c,grid_high_strong,0.5,83.00973,112.00554,53.5,3713458.568943804,25376071.16367351
gsC_c,grid_high_strong,0.5,83.00973,112.00554,60.5,6244305.392144336,49702269.470521875
gsC_c,grid_high_strong,0.5,83.00973,112.00554,71.0,7486060.680781568,56725824.5851354
gsC_c,grid_high_strong,0.5,83.00973,112.00554,78.0,7244449.254569824,54132100.09956112
