chid,group,dx,status,reason,t0,t1,field_profile_status,field_profile_reason,dT_p,x_p,kappa_u,kappa_d,n_up,n_down,L_back,qw_rep,dT_up_2H,dT_fire,dT_down_2H
gsA_c,grid_low_weak,0.5,PASS,,176.02147,206.01043,PASS,,234.43791225806453,57.5,0.08165310087999278,0.11843224443818628,14,8,42.5,3.9443408903225805,128.46895548387096,158.21938741935483,206.02165967741934
gsA_m,grid_low_weak,0.25,PASS,,231.00583,260.01017,PASS,,213.59809033333335,57.5,0.06189210643650119,0.08661838850043457,14,8,42.5,3.581199493333333,138.386062,159.373379,195.8003976666667
gsA_f,grid_low_weak,0.125,PASS,,241.00578,270.00345,PASS,,222.72512133333333,57.5,0.05632782532510111,0.0837221736944235,14,8,42.5,3.472781704444444,146.405058,165.89846833333334,187.61304866666666
gsB_c,grid_mid_crit,0.5,PASS,,185.00638,215.00307,PASS,,366.43865258064517,60.0,1.8977734384748215,0.06079133854745792,14,7,0.0,12.778907079892475,55.9797055483871,211.90486290322582,366.43865258064517
gsB_m,grid_mid_crit,0.25,PASS,,91.00097,120.00293,PASS,,358.43263633333333,62.5,2.0361561487623487,0.029351827820806135,16,6,18.4226943259005,12.554940131555554,0.22016183333333572,225.92448266666668,315.6614563333333
gsB_f,grid_mid_crit,0.125,PASS,,212.00238,241.00298,PASS,,382.82343599999996,62.5,1.6794796587245175,0.05186480767620404,16,6,30.21622236814074,11.815099041111111,107.4612486,202.31291366666665,332.634902
gsC_c,grid_high_strong,0.5,PASS,,83.00973,112.00554,PASS,,344.87581466666666,70.0,1.2915238445174642,0.14908698000772913,19,3,0.0,18.15442758477778,0.36724669999999904,6.173666299999997,89.08110573333333
gsC_m,grid_high_strong,0.25,PASS,,143.00479,172.00359,PASS,,395.76063733333336,70.0,1.3803657566377483,0.13349811656031535,19,3,0.0,16.209055320777775,0.28932140000000217,3.416662166666665,136.67904330000002
gsC_f,grid_high_strong,0.125,INCOMPLETE,缺少特征: kappa_d（下游拟合点 2 个）,180.00251,210.0014,PASS,,288.9910506451613,75.0,1.2435843534072242,,20,2,0.0,14.717483547849461,0.27401893548387335,2.4275736451612886,14.926915225806447
