parent_case_id,physical_case_id,run_chid,job_attempt_id,window_id,rnd_seed,time_block_id,block_start_sample_index,block_start_s,block_end_s,block_len_samples,x_coord_m,xf_actual_m,xi,deltaT_block_mean_K,point_role,detection_limit_K
d_q018_s35,d_q018_s35_x40,d_q018_s35_x40_g25_r104729,d_q018_s35_x40_g25_r104729_a01,QS60_V1,104729,TB00000,0,103.00508000000001,122.00219,20,47.5,40,1.5,250.79825599999998,ACTIVE,0.5
d_q018_s35,d_q018_s35_x40,d_q018_s35_x40_g25_r104729,d_q018_s35_x40_g25_r104729_a01,QS60_V1,104729,TB00000,0,103.00508000000001,122.00219,20,48.75,40,1.75,239.59527450000002,ACTIVE,0.5
d_q018_s35,d_q018_s35_x40,d_q018_s35_x40_g25_r104729,d_q018_s35_x40_g25_r104729_a01,QS60_V1,104729,TB00000,0,103.00508000000001,122.00219,20,50,40,2,229.57761150000002,ACTIVE,0.5
d_q018_s35,d_q018_s35_x40,d_q018_s35_x40_g25_r104729,d_q018_s35_x40_g25_r104729_a01,QS60_V1,104729,TB00000,0,103.00508000000001,122.00219,20,51.25,40,2.25,217.84210849999999,ACTIVE,0.5
d_q018_s35,d_q018_s35_x40,d_q018_s35_x40_g25_r104729,d_q018_s35_x40_g25_r104729_a01,QS60_V1,104729,TB00000,0,103.00508000000001,122.00219,20,52.5,40,2.5,209.34901399999998,ACTIVE,0.5
d_q018_s35,d_q018_s35_x40,d_q018_s35_x40_g25_r104729,d_q018_s35_x40_g25_r104729_a01,QS60_V1,104729,TB00000,0,103.00508000000001,122.00219,20,53.75,40,2.75,202.19286350000002,ACTIVE,0.5
d_q018_s35,d_q018_s35_x40,d_q018_s35_x40_g25_r104729,d_q018_s35_x40_g25_r104729_a01,QS60_V1,104729,TB00000,0,103.00508000000001,122.00219,20,55,40,3,194.54095100000001,ACTIVE,0.5
d_q018_s35,d_q018_s35_x40,d_q018_s35_x40_g25_r104729,d_q018_s35_x40_g25_r104729_a01,QS60_V1,104729,TB00000,0,103.00508000000001,122.00219,20,56.25,40,3.25,188.90833400000002,ACTIVE,0.5
d_q018_s35,d_q018_s35_x40,d_q018_s35_x40_g25_r104729,d_q018_s35_x40_g25_r104729_a01,QS60_V1,104729,TB00000,0,103.00508000000001,122.00219,20,57.5,40,3.5,185.23236299999999,ACTIVE,0.5
d_q018_s35,d_q018_s35_x40,d_q018_s35_x40_g25_r104729,d_q018_s35_x40_g25_r104729_a01,QS60_V1,104729,TB00000,0,103.00508000000001,122.00219,20,58.75,40,3.75,182.18386749999999,ACTIVE,0.5
d_q018_s35,d_q018_s35_x40,d_q018_s35_x40_g25_r104729,d_q018_s35_x40_g25_r104729_a01,QS60_V1,104729,TB00000,0,103.00508000000001,122.00219,20,60,40,4,179.15367499999999,ACTIVE,0.5
d_q018_s35,d_q018_s35_x40,d_q018_s35_x40_g25_r104729,d_q018_s35_x40_g25_r104729_a01,QS60_V1,104729,TB00000,0,103.00508000000001,122.00219,20,61.25,40,4.25,175.62621350000001,ACTIVE,0.5
d_q018_s35,d_q018_s35_x40,d_q018_s35_x40_g25_r104729,d_q018_s35_x40_g25_r104729_a01,QS60_V1,104729,TB00000,0,103.00508000000001,122.00219,20,62.5,40,4.5,172.56600550000002,ACTIVE,0.5
d_q018_s35,d_q018_s35_x40,d_q018_s35_x40_g25_r104729,d_q018_s35_x40_g25_r104729_a01,QS60_V1,104729,TB00000,0,103.00508000000001,122.00219,20,63.75,40,4.75,169.406216,ACTIVE,0.5
d_q018_s35,d_q018_s35_x40,d_q018_s35_x40_g25_r104729,d_q018_s35_x40_g25_r104729_a01,QS60_V1,104729,TB00000,0,103.00508000000001,122.00219,20,65,40,5,167.21312800000001,ACTIVE,0.5
d_q018_s35,d_q018_s35_x40,d_q018_s35_x40_g25_r104729,d_q018_s35_x40_g25_r104729_a01,QS60_V1,104729,TB00000,0,103.00508000000001,122.00219,20,66.25,40,5.25,164.63502299999999,QC_ONLY,0.5
d_q018_s35,d_q018_s35_x40,d_q018_s35_x40_g25_r104729,d_q018_s35_x40_g25_r104729_a01,QS60_V1,104729,TB00000,0,103.00508000000001,122.00219,20,67.5,40,5.5,162.31677250000001,QC_ONLY,0.5
d_q018_s35,d_q018_s35_x40,d_q018_s35_x40_g25_r104729,d_q018_s35_x40_g25_r104729_a01,QS60_V1,104729,TB00000,0,103.00508000000001,122.00219,20,68.75,40,5.75,159.911496,QC_ONLY,0.5
d_q018_s35,d_q018_s35_x40,d_q018_s35_x40_g25_r104729,d_q018_s35_x40_g25_r104729_a01,QS60_V1,104729,TB00000,0,103.00508000000001,122.00219,20,70,40,6,157.45108099999999,QC_ONLY,0.5
d_q018_s35,d_q018_s35_x40,d_q018_s35_x40_g25_r104729,d_q018_s35_x40_g25_r104729_a01,QS60_V1,104729,TB00000,0,103.00508000000001,122.00219,20,72.5,40,6.5,153.0973085,QC_ONLY,0.5
d_q018_s35,d_q018_s35_x40,d_q018_s35_x40_g25_r104729,d_q018_s35_x40_g25_r104729_a01,QS60_V1,104729,TB00000,0,103.00508000000001,122.00219,20,75,40,7,149.48680899999999,QC_ONLY,0.5
d_q018_s35,d_q018_s35_x40,d_q018_s35_x40_g25_r104729,d_q018_s35_x40_g25_r104729_a01,QS60_V1,104729,TB00000,0,103.00508000000001,122.00219,20,77.5,40,7.5,146.19423699999999,QC_ONLY,0.5
d_q018_s35,d_q018_s35_x40,d_q018_s35_x40_g25_r104729,d_q018_s35_x40_g25_r104729_a01,QS60_V1,104729,TB00000,0,103.00508000000001,122.00219,20,80,40,8,142.3329655,QC_ONLY,0.5
