s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_N-HEPTANE,MLR_PRODUCTS
 1.3100636E+002, 7.8863585E+004,-2.1128542E+004,-5.8342776E+004,-2.2111727E+003,-3.4968861E+000, 0.0000000E+000, 0.0000000E+000,-3.0002732E+003,-2.8224022E+003, 2.6885414E+002, 1.8344505E+000, 0.0000000E+000
 1.3200050E+002, 8.3530641E+004,-2.3069908E+004,-5.5804048E+004,-2.3232484E+003,-3.5468114E+000, 0.0000000E+000, 0.0000000E+000, 1.4669827E+003, 2.3298901E+003, 2.6885414E+002, 1.8344505E+000, 0.0000000E+000
 1.3300317E+002, 8.0518633E+004,-2.1685001E+004,-5.9125344E+004,-2.2912513E+003,-3.5899322E+000, 0.0000000E+000, 0.0000000E+000,-2.4526446E+003,-2.5865533E+003, 2.6885414E+002, 1.8344505E+000, 0.0000000E+000
 1.3400578E+002, 7.9040584E+004,-2.0817765E+004,-5.7209744E+004,-2.1296183E+003,-3.5733027E+000, 0.0000000E+000, 0.0000000E+000,-6.0993978E+002,-1.1201154E+003, 2.6885414E+002, 1.8344505E+000, 0.0000000E+000
 1.3500050E+002, 8.0751975E+004,-2.3234632E+004,-5.2036745E+004,-1.9162534E+003,-3.5270421E+000, 0.0000000E+000, 0.0000000E+000, 2.0729115E+003, 3.5608171E+003, 2.6885414E+002, 1.8344505E+000, 0.0000000E+000
 1.3600725E+002, 7.2412815E+004,-1.9103679E+004,-5.2834633E+004,-1.9917713E+003,-3.5068689E+000, 0.0000000E+000, 0.0000000E+000,-1.3176054E+003,-1.5207750E+003, 2.6885414E+002, 1.8344505E+000, 0.0000000E+000
 1.3700211E+002, 8.0662573E+004,-2.1690411E+004,-5.5851914E+004,-2.0536988E+003,-3.5171050E+000, 0.0000000E+000, 0.0000000E+000, 9.3541567E+002, 1.0630321E+003, 2.6885414E+002, 1.8344505E+000, 0.0000000E+000
 1.3800064E+002, 8.3110130E+004,-2.2671303E+004,-5.6540092E+004,-2.1162594E+003,-3.5928445E+000, 0.0000000E+000, 0.0000000E+000, 4.7985456E+002, 1.7788829E+003, 2.6885414E+002, 1.8344505E+000, 0.0000000E+000
 1.3900412E+002, 8.3825693E+004,-2.2024968E+004,-5.9444255E+004,-2.3144960E+003,-3.6530255E+000, 0.0000000E+000, 0.0000000E+000, 1.7166735E+002, 3.8321097E+001, 2.6885414E+002, 1.8344505E+000, 0.0000000E+000
 1.4000696E+002, 8.0403903E+004,-2.1096338E+004,-5.5977978E+004,-2.1905623E+003,-3.5930796E+000, 0.0000000E+000, 0.0000000E+000, 1.2627311E+003, 1.1354317E+003, 2.6885414E+002, 1.8344505E+000, 0.0000000E+000
