s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_N-HEPTANE,MLR_PRODUCTS
 2.9000549E+002, 1.0074821E+004,-3.3993571E+003,-5.4758918E+003,-1.3580898E+003,-4.7600503E-001, 0.0000000E+000, 0.0000000E+000, 3.3849743E+002,-1.5899417E+002, 5.9745697E+001, 2.2930280E-001,-3.3709506E-004
 2.9100543E+002, 9.7839868E+003,-3.3070948E+003,-5.0671989E+003,-1.3275559E+003,-4.7049640E-001, 0.0000000E+000, 0.0000000E+000,-4.7605006E+002, 8.1666799E+001, 5.9745959E+001, 2.2930280E-001,-5.9862743E-004
 2.9200241E+002, 1.0005173E+004,-3.3610672E+003,-5.3273047E+003,-1.3579787E+003,-4.7574266E-001, 0.0000000E+000, 0.0000000E+000, 2.9610643E+002,-4.1653729E+001, 5.9746010E+001, 2.2930280E-001,-6.4972994E-004
 2.9300522E+002, 1.0375360E+004,-3.4686844E+003,-4.9916354E+003,-1.3350109E+003,-4.7389304E-001, 0.0000000E+000, 0.0000000E+000, 1.3137992E+002, 5.7955551E+002, 5.9745972E+001, 2.2930280E-001,-6.1208378E-004
 2.9400189E+002, 9.6360039E+003,-3.3089538E+003,-5.1627818E+003,-1.3569020E+003,-4.7427126E-001, 0.0000000E+000, 0.0000000E+000, 2.1489684E+002,-1.9310802E+002, 5.9745860E+001, 2.2930280E-001,-4.9959534E-004
 2.9500076E+002, 1.0234945E+004,-3.4636560E+003,-5.0406182E+003,-1.3174558E+003,-4.7656096E-001, 0.0000000E+000, 0.0000000E+000,-3.1949076E+001, 4.1273877E+002, 5.9745834E+001, 2.2930280E-001,-4.7396115E-004
 2.9600400E+002, 9.9527156E+003,-3.3575825E+003,-5.1504156E+003,-1.3635098E+003,-4.7567354E-001, 0.0000000E+000, 0.0000000E+000, 4.8747016E+002, 8.0731989E+001, 5.9745677E+001, 2.2930280E-001,-3.1644970E-004
 2.9700214E+002, 9.9761449E+003,-3.4711649E+003,-4.9798992E+003,-1.3349967E+003,-4.7502623E-001, 0.0000000E+000, 0.0000000E+000,-4.0268525E+002, 1.8960898E+002, 5.9745610E+001, 2.2930280E-001,-2.4994676E-004
 2.9800198E+002, 1.0258315E+004,-3.4439272E+003,-5.5214407E+003,-1.3629494E+003,-4.7671454E-001, 0.0000000E+000, 0.0000000E+000, 4.2923514E+002,-7.0479325E+001, 5.9745612E+001, 2.2930280E-001,-2.5189608E-004
 2.9900085E+002, 9.4548062E+003,-3.2869051E+003,-4.9307464E+003,-1.3321296E+003,-4.6860197E-001, 0.0000000E+000, 0.0000000E+000,-6.5190687E+002,-9.5443517E+001, 5.9745601E+001, 2.2930280E-001,-2.4079047E-004
 3.0000000E+002, 1.0314496E+004,-3.4542238E+003,-5.2754075E+003,-1.3806583E+003,-4.7179161E-001, 0.0000000E+000, 0.0000000E+000, 5.7879120E+002, 2.0373408E+002, 5.9745644E+001, 2.2930280E-001,-2.8335007E-004
