s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_N-HEPTANE,MLR_PRODUCTS
 1.9100446E+002, 3.9712351E+004,-1.1823776E+004,-2.6216584E+004,-1.7700027E+003,-1.6110386E+000, 0.0000000E+000, 0.0000000E+000,-4.5305700E+002,-9.9622213E+001, 1.4936340E+002, 9.1721693E-001, 0.0000000E+000
 1.9200354E+002, 4.1650076E+004,-1.2238246E+004,-2.6294328E+004,-1.6717238E+003,-1.6271014E+000, 0.0000000E+000, 0.0000000E+000, 6.9943242E+002, 1.4441513E+003, 1.4936340E+002, 9.1721693E-001, 0.0000000E+000
 1.9300111E+002, 4.0238072E+004,-1.1874146E+004,-2.4800815E+004,-1.6435476E+003,-1.6359297E+000, 0.0000000E+000, 0.0000000E+000, 8.7995008E+002, 1.9179276E+003, 1.4936340E+002, 9.1721693E-001, 0.0000000E+000
 1.9400288E+002, 4.1694893E+004,-1.2091484E+004,-2.7901745E+004,-1.7400055E+003,-1.6287365E+000, 0.0000000E+000, 0.0000000E+000,-1.4811189E+002,-3.9970067E+001, 1.4936340E+002, 9.1721693E-001, 0.0000000E+000
 1.9500040E+002, 3.7848976E+004,-1.1173364E+004,-2.5680013E+004,-1.7408225E+003,-1.6147992E+000, 0.0000000E+000, 0.0000000E+000,-5.7580206E+002,-7.4683780E+002, 1.4936340E+002, 9.1721693E-001, 0.0000000E+000
 1.9600104E+002, 4.0319557E+004,-1.1946071E+004,-2.6211988E+004,-1.8142120E+003,-1.6088695E+000, 0.0000000E+000, 0.0000000E+000, 1.0340424E+002, 3.4567719E+002, 1.4936340E+002, 9.1721693E-001, 0.0000000E+000
 1.9700294E+002, 3.9761411E+004,-1.1460740E+004,-2.5627351E+004,-1.7317139E+003,-1.5577406E+000, 0.0000000E+000, 0.0000000E+000, 4.7863831E+002, 9.4004885E+002, 1.4936340E+002, 9.1721693E-001, 0.0000000E+000
 1.9800113E+002, 3.5868270E+004,-1.0892994E+004,-2.6035221E+004,-1.7333419E+003,-1.5238693E+000, 0.0000000E+000, 0.0000000E+000,-3.2003597E+003,-2.7948110E+003, 1.4936340E+002, 9.1721693E-001, 0.0000000E+000
 1.9900400E+002, 4.0627200E+004,-1.1686699E+004,-2.6374304E+004,-1.7598280E+003,-1.5067905E+000, 0.0000000E+000, 0.0000000E+000, 4.1517584E+002, 8.0486264E+002, 1.4936340E+002, 9.1721693E-001, 0.0000000E+000
 2.0000293E+002, 4.1959891E+004,-1.2132346E+004,-2.7209889E+004,-1.8015272E+003,-1.5358692E+000, 0.0000000E+000, 0.0000000E+000, 7.4573988E+002, 8.1459204E+002, 1.4936340E+002, 9.1721693E-001, 0.0000000E+000
 2.0100131E+002, 3.9868857E+004,-1.1524396E+004,-2.6013989E+004,-1.7107749E+003,-1.5545162E+000, 0.0000000E+000, 0.0000000E+000, 5.2118614E+002, 6.1814300E+002, 1.4936340E+002, 9.1721693E-001, 0.0000000E+000
 2.0200244E+002, 3.9918369E+004,-1.1438881E+004,-2.6985898E+004,-1.6808783E+003,-1.5616510E+000, 0.0000000E+000, 0.0000000E+000,-1.0431444E+002,-1.8884902E+002, 1.4936340E+002, 9.1721693E-001, 0.0000000E+000
 2.0300099E+002, 3.9875574E+004,-1.1099415E+004,-2.7420444E+004,-1.6255023E+003,-1.5129445E+000, 0.0000000E+000, 0.0000000E+000,-2.0813343E+002,-2.7130051E+002, 1.4936340E+002, 9.1721693E-001, 0.0000000E+000
 2.0400392E+002, 3.9434818E+004,-1.1470022E+004,-2.7456185E+004,-1.6642755E+003,-1.5239141E+000, 0.0000000E+000, 0.0000000E+000,-1.2013863E+003,-1.1571875E+003, 1.4936340E+002, 9.1721693E-001, 0.0000000E+000
