s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_N-HEPTANE,MLR_PRODUCTS
 2.5400119E+002, 7.8909553E+004,-1.9588134E+004,-5.7388741E+004,-1.1148926E+003,-2.4453042E+000, 0.0000000E+000, 0.0000000E+000, 4.7775483E+002, 8.1533937E+002, 2.6885412E+002, 1.8344419E+000, 0.0000000E+000
 2.5500293E+002, 7.9836955E+004,-1.9319339E+004,-5.9383078E+004,-9.7804744E+002,-2.3178743E+000, 0.0000000E+000, 0.0000000E+000,-6.7435431E+001, 1.5417294E+002, 2.6885412E+002, 1.8344419E+000, 0.0000000E+000
 2.5600275E+002, 7.8651336E+004,-1.9133858E+004,-6.1585624E+004,-9.9414917E+002,-2.3492646E+000, 0.0000000E+000, 0.0000000E+000,-3.0929972E+003,-3.0646444E+003, 2.6885412E+002, 1.8344419E+000, 0.0000000E+000
 2.5700098E+002, 8.0835927E+004,-1.9731168E+004,-5.9393580E+004,-1.0388931E+003,-2.5167950E+000, 0.0000000E+000, 0.0000000E+000, 3.4063611E+002, 6.6976885E+002, 2.6885412E+002, 1.8344419E+000, 0.0000000E+000
 2.5800061E+002, 7.9998274E+004,-1.9922424E+004,-5.5597964E+004,-1.1864538E+003,-2.5701858E+000, 0.0000000E+000, 0.0000000E+000, 2.7072026E+003, 3.2888626E+003, 2.6885412E+002, 1.8344419E+000, 0.0000000E+000
 2.5900000E+002, 8.1233140E+004,-2.0234487E+004,-6.0282282E+004,-1.0797530E+003,-2.5722020E+000, 0.0000000E+000, 0.0000000E+000,-5.3865678E+002,-3.6595456E+002, 2.6885412E+002, 1.8344419E+000, 0.0000000E+000
 2.6000284E+002, 8.1404721E+004,-1.9596590E+004,-6.2860674E+004,-9.0062165E+002,-2.6037514E+000, 0.0000000E+000, 0.0000000E+000,-1.7143810E+003,-1.9557688E+003, 2.6885412E+002, 1.8344419E+000, 0.0000000E+000
 2.6100024E+002, 8.2315761E+004,-2.0222422E+004,-5.6998384E+004,-8.6890551E+002,-2.5737593E+000, 0.0000000E+000, 0.0000000E+000, 3.5400133E+003, 4.2234753E+003, 2.6885412E+002, 1.8344419E+000, 0.0000000E+000
 2.6200049E+002, 7.7697551E+004,-1.9482837E+004,-5.6951485E+004,-1.0152768E+003,-2.5715888E+000, 0.0000000E+000, 0.0000000E+000, 1.8280438E+002, 2.4538145E+002, 2.6885412E+002, 1.8344419E+000, 0.0000000E+000
 2.6300165E+002, 8.1721862E+004,-2.0012440E+004,-6.1109905E+004,-1.1208932E+003,-2.6119300E+000, 0.0000000E+000, 0.0000000E+000,-3.9847873E+002,-5.2398841E+002, 2.6885412E+002, 1.8344419E+000, 0.0000000E+000
