s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_N-HEPTANE,MLR_PRODUCTS
 2.9000391E+002, 3.9594747E+004,-1.1264558E+004,-2.5973901E+004,-1.5974363E+003,-1.8479322E+000, 0.0000000E+000, 0.0000000E+000, 5.9721258E+002, 7.5700385E+002, 1.4936341E+002, 9.1721693E-001, 0.0000000E+000
 2.9100284E+002, 4.1069584E+004,-1.1598939E+004,-2.6829641E+004,-1.6559074E+003,-1.8263908E+000, 0.0000000E+000, 0.0000000E+000, 1.4749212E+003, 9.8327008E+002, 1.4936341E+002, 9.1721693E-001, 0.0000000E+000
 2.9200665E+002, 3.8768993E+004,-1.1099314E+004,-2.5849170E+004,-1.5733711E+003,-1.8158151E+000, 0.0000000E+000, 0.0000000E+000,-1.3624820E+002, 2.4532189E+002, 1.4936341E+002, 9.1721693E-001, 0.0000000E+000
 2.9300302E+002, 4.0291519E+004,-1.1458585E+004,-2.8036744E+004,-1.5733447E+003,-1.8190957E+000, 0.0000000E+000, 0.0000000E+000,-5.6085957E+002,-7.7897383E+002, 1.4936341E+002, 9.1721693E-001, 0.0000000E+000
 2.9400470E+002, 4.0439400E+004,-1.1522230E+004,-2.7674977E+004,-1.5136029E+003,-1.8135978E+000, 0.0000000E+000, 0.0000000E+000,-6.9728710E+002,-2.7322395E+002, 1.4936341E+002, 9.1721693E-001, 0.0000000E+000
 2.9500101E+002, 4.0255848E+004,-1.1490543E+004,-2.6933526E+004,-1.5388346E+003,-1.8291488E+000, 0.0000000E+000, 0.0000000E+000, 6.4946300E+001, 2.9111492E+002, 1.4936341E+002, 9.1721693E-001, 0.0000000E+000
 2.9600882E+002, 3.9310366E+004,-1.0822654E+004,-2.7411907E+004,-1.5129483E+003,-1.8154584E+000, 0.0000000E+000, 0.0000000E+000,-6.3328042E+000,-4.3895874E+002, 1.4936341E+002, 9.1721693E-001, 0.0000000E+000
 2.9700354E+002, 3.9778469E+004,-1.1457995E+004,-2.6539935E+004,-1.5155504E+003,-1.8204074E+000, 0.0000000E+000, 0.0000000E+000, 7.7272112E+001, 2.6316881E+002, 1.4936341E+002, 9.1721693E-001, 0.0000000E+000
 2.9800055E+002, 4.2627023E+004,-1.2022701E+004,-2.9552942E+004,-1.6842426E+003,-1.8356270E+000, 0.0000000E+000, 0.0000000E+000,-3.0998576E+002,-6.3469750E+002, 1.4936341E+002, 9.1721693E-001, 0.0000000E+000
 2.9900418E+002, 3.6819595E+004,-1.0380200E+004,-2.5804356E+004,-1.5269839E+003,-1.7947921E+000, 0.0000000E+000, 0.0000000E+000,-1.4886950E+003,-8.9373860E+002, 1.4936341E+002, 9.1721693E-001, 0.0000000E+000
 3.0000000E+002, 4.0255986E+004,-1.1725896E+004,-2.6273552E+004,-1.5831717E+003,-1.8112699E+000, 0.0000000E+000, 0.0000000E+000, 4.6945859E+002, 6.7155453E+002, 1.4936341E+002, 9.1721693E-001, 0.0000000E+000
