parent_chid,repeat_chid,n_sensors,n_weak_signal_sensors,weak_signal_limit_C,confidence_multiplier,DeltaT_noise_C,status,method,parent_profile_source,repeat_profile_source
pilot_06_q40_r100_d45,pilot_06_q40_r100_d45_seed104729,23,12,5.000000,1.960000,0.125039927,FORMAL_FDS_6_9_1_SEED_PAIR_READY,"case-specific quasi-steady means; per-sensor seed SD=abs(mean1-mean2)/sqrt(2); noise SD=max(seed SD,parent block-bootstrap SD,repeat block-bootstrap SD); multiply by confidence multiplier and take maximum where pair-mean DeltaT is within weak-signal limit; final value is the maximum representative-pair envelope",阶段二/outputs/preliminary_fds_6.9.1/time_average/time_average_database.csv,阶段一/outputs/analysis/extra_four/time_average/time_average_database.csv
pilot_11_q100_r160_d70,pilot_11_q100_r160_d70_seed204729,23,12,5.000000,1.960000,0.077437413,FORMAL_FDS_6_9_1_SEED_PAIR_READY,"case-specific quasi-steady means; per-sensor seed SD=abs(mean1-mean2)/sqrt(2); noise SD=max(seed SD,parent block-bootstrap SD,repeat block-bootstrap SD); multiply by confidence multiplier and take maximum where pair-mean DeltaT is within weak-signal limit; final value is the maximum representative-pair envelope",阶段二/outputs/preliminary_fds_6.9.1/time_average/time_average_database.csv,阶段一/outputs/analysis/extra_four/time_average/time_average_database.csv
