parent_chid,repeat_chid,sensor,x_m,parent_t0_s,parent_t1_s,repeat_t0_s,repeat_t1_s,parent_deltaT_bar_C,repeat_deltaT_bar_C,pair_mean_deltaT_C,absolute_mean_difference_C,repeat_seed_mean_sd_C,parent_bootstrap_sd_C,repeat_bootstrap_sd_C,single_run_mean_noise_sd_C,noise_limit_C,weak_signal_eligible
pilot_11_q100_r160_d70,pilot_11_q100_r160_d70_seed204729,T_2000,20.000000,144.000020,173.005550,155.002720,184.005620,0.000865000,0.000964000,0.000914500,0.000099000,0.000070004,0.000050000,0.000074000,0.000074000,0.000145040,true
pilot_11_q100_r160_d70,pilot_11_q100_r160_d70_seed204729,T_2500,25.000000,144.000020,173.005550,155.002720,184.005620,0.006150000,0.006419000,0.006284500,0.000269000,0.000190212,0.000080000,0.000112000,0.000190212,0.000372815,true
pilot_11_q100_r160_d70,pilot_11_q100_r160_d70_seed204729,T_3000,30.000000,144.000020,173.005550,155.002720,184.005620,0.030218000,0.031196000,0.030707000,0.000978000,0.000691550,0.000157000,0.000360000,0.000691550,0.001355439,true
pilot_11_q100_r160_d70,pilot_11_q100_r160_d70_seed204729,T_3250,32.500000,144.000020,173.005550,155.002720,184.005620,0.057281000,0.059348000,0.058314500,0.002067000,0.001461590,0.000245000,0.000602000,0.001461590,0.002864716,true
pilot_11_q100_r160_d70,pilot_11_q100_r160_d70_seed204729,T_3500,35.000000,144.000020,173.005550,155.002720,184.005620,0.099579000,0.103921000,0.101750000,0.004342000,0.003070258,0.000336000,0.000946000,0.003070258,0.006017705,true
pilot_11_q100_r160_d70,pilot_11_q100_r160_d70_seed204729,T_3750,37.500000,144.000020,173.005550,155.002720,184.005620,0.163800000,0.172276000,0.168038000,0.008476000,0.005993437,0.000609000,0.001361000,0.005993437,0.011747137,true
pilot_11_q100_r160_d70,pilot_11_q100_r160_d70_seed204729,T_4000,40.000000,144.000020,173.005550,155.002720,184.005620,0.269279000,0.283834000,0.276556500,0.014555000,0.010291939,0.001481000,0.002095000,0.010291939,0.020172201,true
pilot_11_q100_r160_d70,pilot_11_q100_r160_d70_seed204729,T_4250,42.500000,144.000020,173.005550,155.002720,184.005620,0.462270000,0.483605000,0.472937500,0.021335000,0.015086123,0.002828000,0.003318000,0.015086123,0.029568801,true
pilot_11_q100_r160_d70,pilot_11_q100_r160_d70_seed204729,T_4500,45.000000,144.000020,173.005550,155.002720,184.005620,0.824203000,0.850542000,0.837372500,0.026339000,0.018624486,0.005897000,0.005253000,0.018624486,0.036503992,true
pilot_11_q100_r160_d70,pilot_11_q100_r160_d70_seed204729,T_4750,47.500000,144.000020,173.005550,155.002720,184.005620,1.559971000,1.589302000,1.574636500,0.029331000,0.020740149,0.014219000,0.008032000,0.020740149,0.040650692,true
pilot_11_q100_r160_d70,pilot_11_q100_r160_d70_seed204729,T_5000,50.000000,144.000020,173.005550,155.002720,184.005620,2.956794000,3.012668000,2.984731000,0.055874000,0.039508884,0.038034000,0.023624000,0.039508884,0.077437413,true
