physical_case_id,run_chids,run_count,deltaT_peak_mean_K,deltaT_peak_cv,curve_max_pairwise_nrmse,status
d_q018_s35_x50,d_q018_s35_x50_g25_r104729;d_q018_s35_x50_g25_r204729;d_q018_s35_x50_g25_r304729,3,644.2179617236569,0.015464621988480191,0.01939417499772555,PASS
d_q027_s45_x40,d_q027_s45_x40_g25_r104729;d_q027_s45_x40_g25_r204729;d_q027_s45_x40_g25_r304729,3,793.2989339275581,0.01627380651735769,0.012709671214720733,PASS
d_q027_s45_x60,d_q027_s45_x60_g25_r104729;d_q027_s45_x60_g25_r204729;d_q027_s45_x60_g25_r304729,3,792.9359244137227,0.007047469138592553,0.01439581233950211,PASS
d_q036_s50_x50,d_q036_s50_x50_g25_r104729;d_q036_s50_x50_g25_r204729;d_q036_s50_x50_g25_r304729,3,909.3367731826373,0.03831856566251869,0.044817228064417805,PASS
