batch,run_chid,job_attempt_id,parent_case_id,physical_case_id,Q_MW,burner_side_m,xf_m,rnd_seed,output_profile,source_fds_repo_path,source_fds_path,attempt_fds_path,attempt_input_sha256,run_core_sha256,return_dir,required_return_files,static_audit,status
D3,d_q018_s50_x40_g25_r104729,d_q018_s50_x40_g25_r104729_a01,d_q018_s50,d_q018_s50_x40,18,5,40,104729,light,fds_inputs/development/g3/d_q018_s50_x40_g25_r104729.fds,C:\Users\Administrator\Desktop\科研\tunnel-fire-research\fds_inputs\development\g3\d_q018_s50_x40_g25_r104729.fds,C:\Users\Administrator\Desktop\科研\tunnel-fire-research\runs\development\d_q018_s50_x40_g25_r104729\attempts\d_q018_s50_x40_g25_r104729_a01\d_q018_s50_x40_g25_r104729.fds,df8a69bfc631cd18826bae6b7df47cd3b3c7610b29062b93fe1f27a115333004,0d85842dbbc3bdfac5d036141b4d59e65075d1723a5066e55d5a6ae8ce23036b,C:\Users\Administrator\Desktop\科研\tunnel-fire-research\runs\development\d_q018_s50_x40_g25_r104729\attempts\d_q018_s50_x40_g25_r104729_a01,d_q018_s50_x40_g25_r104729.fds;d_q018_s50_x40_g25_r104729.out;d_q018_s50_x40_g25_r104729_devc.csv;d_q018_s50_x40_g25_r104729_hrr.csv;d_q018_s50_x40_g25_r104729.smv;d_q018_s50_x40_g25_r104729.end (如有),PASS,AWAITING_EXTERNAL_RUN
D3,d_q018_s50_x60_g25_r104729,d_q018_s50_x60_g25_r104729_a01,d_q018_s50,d_q018_s50_x60,18,5,60,104729,light,fds_inputs/development/g3/d_q018_s50_x60_g25_r104729.fds,C:\Users\Administrator\Desktop\科研\tunnel-fire-research\fds_inputs\development\g3\d_q018_s50_x60_g25_r104729.fds,C:\Users\Administrator\Desktop\科研\tunnel-fire-research\runs\development\d_q018_s50_x60_g25_r104729\attempts\d_q018_s50_x60_g25_r104729_a01\d_q018_s50_x60_g25_r104729.fds,300806840017a956ce1d64ad604aa8ee789c21c70287c9256eb9a8130d3825cf,bbd399c3b91f2792f00d10b69af4af7bcffdf014094e7352ada43e013e9787f1,C:\Users\Administrator\Desktop\科研\tunnel-fire-research\runs\development\d_q018_s50_x60_g25_r104729\attempts\d_q018_s50_x60_g25_r104729_a01,d_q018_s50_x60_g25_r104729.fds;d_q018_s50_x60_g25_r104729.out;d_q018_s50_x60_g25_r104729_devc.csv;d_q018_s50_x60_g25_r104729_hrr.csv;d_q018_s50_x60_g25_r104729.smv;d_q018_s50_x60_g25_r104729.end (如有),PASS,AWAITING_EXTERNAL_RUN
D3,d_q027_s45_x40_g25_r204729,d_q027_s45_x40_g25_r204729_a01,d_q027_s45,d_q027_s45_x40,27,4.5,40,204729,light,fds_inputs/development/g3/d_q027_s45_x40_g25_r204729.fds,C:\Users\Administrator\Desktop\科研\tunnel-fire-research\fds_inputs\development\g3\d_q027_s45_x40_g25_r204729.fds,C:\Users\Administrator\Desktop\科研\tunnel-fire-research\runs\development\d_q027_s45_x40_g25_r204729\attempts\d_q027_s45_x40_g25_r204729_a01\d_q027_s45_x40_g25_r204729.fds,19c61e5d15f6a61d923a66dc1b89e06f3d95bb9313fb967961a13959c6212bc1,51e6256031e99810d0293df25cc155cf81595c921021892c15bc420e2bfea3cf,C:\Users\Administrator\Desktop\科研\tunnel-fire-research\runs\development\d_q027_s45_x40_g25_r204729\attempts\d_q027_s45_x40_g25_r204729_a01,d_q027_s45_x40_g25_r204729.fds;d_q027_s45_x40_g25_r204729.out;d_q027_s45_x40_g25_r204729_devc.csv;d_q027_s45_x40_g25_r204729_hrr.csv;d_q027_s45_x40_g25_r204729.smv;d_q027_s45_x40_g25_r204729.end (如有),PASS,AWAITING_EXTERNAL_RUN
D3,d_q027_s45_x40_g25_r304729,d_q027_s45_x40_g25_r304729_a01,d_q027_s45,d_q027_s45_x40,27,4.5,40,304729,light,fds_inputs/development/g3/d_q027_s45_x40_g25_r304729.fds,C:\Users\Administrator\Desktop\科研\tunnel-fire-research\fds_inputs\development\g3\d_q027_s45_x40_g25_r304729.fds,C:\Users\Administrator\Desktop\科研\tunnel-fire-research\runs\development\d_q027_s45_x40_g25_r304729\attempts\d_q027_s45_x40_g25_r304729_a01\d_q027_s45_x40_g25_r304729.fds,ef744140c8693823f44c3cac4d13ac8ab51d0485ecfe4dbc2c417a7280a67fd3,aedbba6f710b2c3c653944f2135ebaf51c6a4879d1e7e90efe5dba8e25629a03,C:\Users\Administrator\Desktop\科研\tunnel-fire-research\runs\development\d_q027_s45_x40_g25_r304729\attempts\d_q027_s45_x40_g25_r304729_a01,d_q027_s45_x40_g25_r304729.fds;d_q027_s45_x40_g25_r304729.out;d_q027_s45_x40_g25_r304729_devc.csv;d_q027_s45_x40_g25_r304729_hrr.csv;d_q027_s45_x40_g25_r304729.smv;d_q027_s45_x40_g25_r304729.end (如有),PASS,AWAITING_EXTERNAL_RUN
D3,d_q027_s45_x60_g25_r204729,d_q027_s45_x60_g25_r204729_a01,d_q027_s45,d_q027_s45_x60,27,4.5,60,204729,light,fds_inputs/development/g3/d_q027_s45_x60_g25_r204729.fds,C:\Users\Administrator\Desktop\科研\tunnel-fire-research\fds_inputs\development\g3\d_q027_s45_x60_g25_r204729.fds,C:\Users\Administrator\Desktop\科研\tunnel-fire-research\runs\development\d_q027_s45_x60_g25_r204729\attempts\d_q027_s45_x60_g25_r204729_a01\d_q027_s45_x60_g25_r204729.fds,a7e315652db3264cbff758ee9f7afece99bd0aa709680f053ea0e89f709af01d,791d2290fad3134c1d5aa556580f1e8659453a1d72bb317030015c09b3c4feea,C:\Users\Administrator\Desktop\科研\tunnel-fire-research\runs\development\d_q027_s45_x60_g25_r204729\attempts\d_q027_s45_x60_g25_r204729_a01,d_q027_s45_x60_g25_r204729.fds;d_q027_s45_x60_g25_r204729.out;d_q027_s45_x60_g25_r204729_devc.csv;d_q027_s45_x60_g25_r204729_hrr.csv;d_q027_s45_x60_g25_r204729.smv;d_q027_s45_x60_g25_r204729.end (如有),PASS,AWAITING_EXTERNAL_RUN
D3,d_q027_s45_x60_g25_r304729,d_q027_s45_x60_g25_r304729_a01,d_q027_s45,d_q027_s45_x60,27,4.5,60,304729,light,fds_inputs/development/g3/d_q027_s45_x60_g25_r304729.fds,C:\Users\Administrator\Desktop\科研\tunnel-fire-research\fds_inputs\development\g3\d_q027_s45_x60_g25_r304729.fds,C:\Users\Administrator\Desktop\科研\tunnel-fire-research\runs\development\d_q027_s45_x60_g25_r304729\attempts\d_q027_s45_x60_g25_r304729_a01\d_q027_s45_x60_g25_r304729.fds,9fe9c7adaa70d6c09436f4c042929aadf74b2cefc9db8e30f8d79c74c29c0062,5f3da8bb7bf024adce0e6d56962f3d623ef767406d1135923f5710aba36e1673,C:\Users\Administrator\Desktop\科研\tunnel-fire-research\runs\development\d_q027_s45_x60_g25_r304729\attempts\d_q027_s45_x60_g25_r304729_a01,d_q027_s45_x60_g25_r304729.fds;d_q027_s45_x60_g25_r304729.out;d_q027_s45_x60_g25_r304729_devc.csv;d_q027_s45_x60_g25_r304729_hrr.csv;d_q027_s45_x60_g25_r304729.smv;d_q027_s45_x60_g25_r304729.end (如有),PASS,AWAITING_EXTERNAL_RUN
D3,d_q036_s35_x40_g25_r104729,d_q036_s35_x40_g25_r104729_a01,d_q036_s35,d_q036_s35_x40,36,3.5,40,104729,light,fds_inputs/development/g3/d_q036_s35_x40_g25_r104729.fds,C:\Users\Administrator\Desktop\科研\tunnel-fire-research\fds_inputs\development\g3\d_q036_s35_x40_g25_r104729.fds,C:\Users\Administrator\Desktop\科研\tunnel-fire-research\runs\development\d_q036_s35_x40_g25_r104729\attempts\d_q036_s35_x40_g25_r104729_a01\d_q036_s35_x40_g25_r104729.fds,ae9ab14ea5ffbf71a2adfb5d301b8855acd48cf0854116e75cd97e343972a458,6055f6efc3c5ec254f3fd59d4fc35afd4761383dfdf77904b454049e69fe90e5,C:\Users\Administrator\Desktop\科研\tunnel-fire-research\runs\development\d_q036_s35_x40_g25_r104729\attempts\d_q036_s35_x40_g25_r104729_a01,d_q036_s35_x40_g25_r104729.fds;d_q036_s35_x40_g25_r104729.out;d_q036_s35_x40_g25_r104729_devc.csv;d_q036_s35_x40_g25_r104729_hrr.csv;d_q036_s35_x40_g25_r104729.smv;d_q036_s35_x40_g25_r104729.end (如有),PASS,AWAITING_EXTERNAL_RUN
D3,d_q036_s35_x60_g25_r104729,d_q036_s35_x60_g25_r104729_a01,d_q036_s35,d_q036_s35_x60,36,3.5,60,104729,light,fds_inputs/development/g3/d_q036_s35_x60_g25_r104729.fds,C:\Users\Administrator\Desktop\科研\tunnel-fire-research\fds_inputs\development\g3\d_q036_s35_x60_g25_r104729.fds,C:\Users\Administrator\Desktop\科研\tunnel-fire-research\runs\development\d_q036_s35_x60_g25_r104729\attempts\d_q036_s35_x60_g25_r104729_a01\d_q036_s35_x60_g25_r104729.fds,c99fd0e42ee8fc6b49c7832ee2f1ff880f45420b64cd6f37d5596347bf779ef7,a82f653c8528a9b89c87ecb7f26a6f03790886ed4d0f5a5e9748c05738addfef,C:\Users\Administrator\Desktop\科研\tunnel-fire-research\runs\development\d_q036_s35_x60_g25_r104729\attempts\d_q036_s35_x60_g25_r104729_a01,d_q036_s35_x60_g25_r104729.fds;d_q036_s35_x60_g25_r104729.out;d_q036_s35_x60_g25_r104729_devc.csv;d_q036_s35_x60_g25_r104729_hrr.csv;d_q036_s35_x60_g25_r104729.smv;d_q036_s35_x60_g25_r104729.end (如有),PASS,AWAITING_EXTERNAL_RUN
D3,d_q036_s50_x40_g25_r104729,d_q036_s50_x40_g25_r104729_a01,d_q036_s50,d_q036_s50_x40,36,5,40,104729,light,fds_inputs/development/g3/d_q036_s50_x40_g25_r104729.fds,C:\Users\Administrator\Desktop\科研\tunnel-fire-research\fds_inputs\development\g3\d_q036_s50_x40_g25_r104729.fds,C:\Users\Administrator\Desktop\科研\tunnel-fire-research\runs\development\d_q036_s50_x40_g25_r104729\attempts\d_q036_s50_x40_g25_r104729_a01\d_q036_s50_x40_g25_r104729.fds,48457c532adbdce5a88ff8f8d9d745808954c30b96ffd0bfc9bc09c09adaa39f,dd9d900ca102f5871a2d4ca54a02085e184fde1aee27e615d3dd7763a54689e2,C:\Users\Administrator\Desktop\科研\tunnel-fire-research\runs\development\d_q036_s50_x40_g25_r104729\attempts\d_q036_s50_x40_g25_r104729_a01,d_q036_s50_x40_g25_r104729.fds;d_q036_s50_x40_g25_r104729.out;d_q036_s50_x40_g25_r104729_devc.csv;d_q036_s50_x40_g25_r104729_hrr.csv;d_q036_s50_x40_g25_r104729.smv;d_q036_s50_x40_g25_r104729.end (如有),PASS,AWAITING_EXTERNAL_RUN
D3,d_q036_s50_x50_g25_r204729,d_q036_s50_x50_g25_r204729_a01,d_q036_s50,d_q036_s50_x50,36,5,50,204729,light,fds_inputs/development/g3/d_q036_s50_x50_g25_r204729.fds,C:\Users\Administrator\Desktop\科研\tunnel-fire-research\fds_inputs\development\g3\d_q036_s50_x50_g25_r204729.fds,C:\Users\Administrator\Desktop\科研\tunnel-fire-research\runs\development\d_q036_s50_x50_g25_r204729\attempts\d_q036_s50_x50_g25_r204729_a01\d_q036_s50_x50_g25_r204729.fds,899b117d744121cd1d9b025047a44566e0bfed23ba4c8b0bbdc3f8f820f5b4c5,ff6e8e5d41fdaef31d003698178531a0df713f45983f53d7ad3e946ef992d007,C:\Users\Administrator\Desktop\科研\tunnel-fire-research\runs\development\d_q036_s50_x50_g25_r204729\attempts\d_q036_s50_x50_g25_r204729_a01,d_q036_s50_x50_g25_r204729.fds;d_q036_s50_x50_g25_r204729.out;d_q036_s50_x50_g25_r204729_devc.csv;d_q036_s50_x50_g25_r204729_hrr.csv;d_q036_s50_x50_g25_r204729.smv;d_q036_s50_x50_g25_r204729.end (如有),PASS,AWAITING_EXTERNAL_RUN
D3,d_q036_s50_x50_g25_r304729,d_q036_s50_x50_g25_r304729_a01,d_q036_s50,d_q036_s50_x50,36,5,50,304729,light,fds_inputs/development/g3/d_q036_s50_x50_g25_r304729.fds,C:\Users\Administrator\Desktop\科研\tunnel-fire-research\fds_inputs\development\g3\d_q036_s50_x50_g25_r304729.fds,C:\Users\Administrator\Desktop\科研\tunnel-fire-research\runs\development\d_q036_s50_x50_g25_r304729\attempts\d_q036_s50_x50_g25_r304729_a01\d_q036_s50_x50_g25_r304729.fds,92ab8d681121bc1c429e982c292009163c591921929c002e920b7689f8e509e0,523ac1864b487f823ea8748ae4b7ca530f1a1d5522bd4f08d6563cd5da4f58aa,C:\Users\Administrator\Desktop\科研\tunnel-fire-research\runs\development\d_q036_s50_x50_g25_r304729\attempts\d_q036_s50_x50_g25_r304729_a01,d_q036_s50_x50_g25_r304729.fds;d_q036_s50_x50_g25_r304729.out;d_q036_s50_x50_g25_r304729_devc.csv;d_q036_s50_x50_g25_r304729_hrr.csv;d_q036_s50_x50_g25_r304729.smv;d_q036_s50_x50_g25_r304729.end (如有),PASS,AWAITING_EXTERNAL_RUN
D3,d_q036_s50_x60_g25_r104729,d_q036_s50_x60_g25_r104729_a01,d_q036_s50,d_q036_s50_x60,36,5,60,104729,light,fds_inputs/development/g3/d_q036_s50_x60_g25_r104729.fds,C:\Users\Administrator\Desktop\科研\tunnel-fire-research\fds_inputs\development\g3\d_q036_s50_x60_g25_r104729.fds,C:\Users\Administrator\Desktop\科研\tunnel-fire-research\runs\development\d_q036_s50_x60_g25_r104729\attempts\d_q036_s50_x60_g25_r104729_a01\d_q036_s50_x60_g25_r104729.fds,0de6e9657979917ccab8e6fd763bb2d930c0e2e75e76bd5e19f6914ca6add6eb,a42dcc0fa0f991b4be805fa1c6f374c8539ca4bef90aafd124dbe9b748f2cafe,C:\Users\Administrator\Desktop\科研\tunnel-fire-research\runs\development\d_q036_s50_x60_g25_r104729\attempts\d_q036_s50_x60_g25_r104729_a01,d_q036_s50_x60_g25_r104729.fds;d_q036_s50_x60_g25_r104729.out;d_q036_s50_x60_g25_r104729_devc.csv;d_q036_s50_x60_g25_r104729_hrr.csv;d_q036_s50_x60_g25_r104729.smv;d_q036_s50_x60_g25_r104729.end (如有),PASS,AWAITING_EXTERNAL_RUN
