shape_model,outer_nrmse_median,outer_nrmse_p90,mean_point_nll,parent_improvement_inputs,parameter_bound_hit_any_fold
S1,0.03584518579539058,0.04401429966996741,-1.8642070456819602,9,False
S2,0.10977787868065526,0.1245879600648229,-0.7906098521211731,9,True
S3,0.0347441482865577,0.04172683057264346,-1.8973409768501455,9,True
