chid,purpose,Q_MW,dx_m,rnd_seed,t0_s,t1_s,deltaT_peak_C,x_peak_m,peak_shift_m,hrr_mean_kW,A_global_xi5,left_right_nrmse_xi5,A_global_xi4,left_right_nrmse_xi4,A_global_xi3,left_right_nrmse_xi3,opening_available_h,detection_limit_C,A_global_point_xi5,A_global_ci95_lower_xi5,A_global_ci95_upper_xi5,active_fraction_xi5,censored_fraction_xi5,domain_sensor_count_xi5,block_len_samples_xi5,n_samples_xi5,n_boot_xi5,opening_required_h_xi5,opening_pass_xi5,detection_pass_xi5,status_xi5,A_global_point_xi4,A_global_ci95_lower_xi4,A_global_ci95_upper_xi4,active_fraction_xi4,censored_fraction_xi4,domain_sensor_count_xi4,block_len_samples_xi4,n_samples_xi4,n_boot_xi4,opening_required_h_xi4,opening_pass_xi4,detection_pass_xi4,status_xi4,A_global_point_xi3,A_global_ci95_lower_xi3,A_global_ci95_upper_xi3,active_fraction_xi3,censored_fraction_xi3,domain_sensor_count_xi3,block_len_samples_xi3,n_samples_xi3,n_boot_xi3,opening_required_h_xi3,opening_pass_xi3,detection_pass_xi3,status_xi3,x_fire_m
p_q018_s40_x50_g25_r104729,grid_low,18.0,0.25,104729,137.0073,197.00306,649.4814918032789,50.0,0.0,17992.503278688524,0.016747034910731137,0.01453871733974429,0.01688544578468527,0.015326444072294934,0.01829568313440113,0.017563205532133436,10.0,0.5,0.016747034910731116,0.014077067818699263,0.056658972328104,1.0,0.0,37,16,61,2000,8.0,True,True,PASS,0.01688544578468525,0.014685507197956874,0.05747860746625744,1.0,0.0,33,16,61,2000,7.0,True,True,PASS,0.018295683134401112,0.01560988345427046,0.06188875108142403,1.0,0.0,25,16,61,2000,6.0,True,True,PASS,50.0
p_q036_s40_x50_g25_r104729,grid_high,36.0,0.25,104729,103.00653,163.00434,1005.6663427868853,50.0,0.0,35993.36583333334,0.04610615712595938,0.0371372494772629,0.04738200142894214,0.03926408786997529,0.05326197117964027,0.045177407879425584,10.0,0.5,0.046106157125959314,0.019363592139089066,0.11456835919669851,1.0,0.0,37,21,61,2000,8.0,True,True,PASS,0.047382001428942076,0.01991971858505862,0.119307235910525,1.0,0.0,33,21,61,2000,7.0,True,True,PASS,0.053261971179640204,0.023267220555155205,0.13148410531329058,1.0,0.0,25,21,61,2000,6.0,True,True,PASS,50.0
p_q027_s45_x40_g25_r104729,opening_translation,27.0,0.25,104729,70.003862,129.00543,850.9833633333333,40.0,0.0,26991.30476271186,0.0779716807350477,0.04405189099591014,0.08109842577156957,0.047243354245634986,0.0850043768914927,0.0512571261903524,8.0,0.5,0.07797168073504772,0.040045383401285474,0.11695734258998741,1.0,0.0,35,16,60,2000,8.0,True,True,PASS,0.0810984257715696,0.04036515838281731,0.12549773061454714,1.0,0.0,29,9,60,2000,7.0,True,True,PASS,0.08500437689149275,0.04177685707997099,0.13383814451911563,1.0,0.0,23,9,60,2000,6.0,True,True,PASS,40.0
p_q027_s45_x50_g25_r104729,opening_translation,27.0,0.25,104729,174.00344,233.00549,823.9791001666667,50.0,0.0,27022.330627118645,0.030370092810215663,0.02194292772576753,0.030370940325874094,0.023003936649918785,0.029890583689679673,0.02570011622926799,10.0,0.5,0.030370092810215642,0.0169131127476016,0.07041025007937923,1.0,0.0,37,16,60,2000,8.0,True,True,PASS,0.030370940325874056,0.016843862969022953,0.07166946626664773,1.0,0.0,33,12,60,2000,7.0,True,True,PASS,0.029890583689679597,0.018683162807828075,0.06787836387203856,1.0,0.0,25,7,60,2000,6.0,True,True,PASS,50.0
p_q027_s45_x60_g25_r104729,opening_translation,27.0,0.25,104729,72.008657,132.00563,849.6721732786883,60.0,0.0,26993.23068852459,0.03988540411117153,0.03618923595263569,0.0433781277077394,0.03908098902513616,0.048268360370911735,0.04280601946628132,8.0,0.5,0.03988540411117153,0.016934742700666392,0.08703785722603738,1.0,0.0,35,13,61,2000,8.0,True,True,PASS,0.043378127707739404,0.016263127970303794,0.09269494930741727,1.0,0.0,29,13,61,2000,7.0,True,True,PASS,0.048268360370911735,0.013522414833945558,0.09415390729630439,1.0,0.0,23,11,61,2000,6.0,True,True,PASS,60.0
p_q018_s40_x50_g25_r204729,seed_repeat_low,18.0,0.25,204729,217.00914,276.00977,569.3140818333333,50.0,0.0,17997.186083333334,0.016341621386528955,0.011517385588349338,0.017756310084384504,0.01221377994755884,0.02172572356255754,0.014092745586594353,10.0,0.5,0.016341621386528962,0.01295752170538565,0.048913935388317155,1.0,0.0,37,15,60,2000,8.0,True,True,PASS,0.017756310084384514,0.013474400463513881,0.052074129488263544,1.0,0.0,33,15,60,2000,7.0,True,True,PASS,0.02172572356255759,0.015245159454993922,0.05822819425769327,1.0,0.0,25,15,60,2000,6.0,True,True,PASS,50.0
p_q018_s40_x50_g25_r304729,seed_repeat_low,18.0,0.25,304729,79.005914,138.0042,627.9245868333333,50.0,0.0,17981.357644067797,0.036438263409918514,0.021822454030057722,0.03834941077288263,0.023087908125179475,0.04077683400605687,0.026000577699459643,10.0,0.5,0.03643826340991854,0.008908552738476808,0.07146717212720886,1.0,0.0,37,9,60,2000,8.0,True,True,PASS,0.03834941077288267,0.00884566749931137,0.07454558005287767,1.0,0.0,33,9,60,2000,7.0,True,True,PASS,0.04077683400605691,0.011207705083379406,0.07858164338807888,1.0,0.0,25,7,60,2000,6.0,True,True,PASS,50.0
p_q036_s40_x50_g25_r204729,seed_repeat_high,36.0,0.25,204729,95.005923,155.0055,1019.2622924590164,50.0,0.0,35955.203883333335,0.024446827315560627,0.014285270999592072,0.024403468575615993,0.014923509693420007,0.02538869860544333,0.016825258755258768,10.0,0.5,0.024446827315560585,0.013503463837533296,0.07479532265798947,1.0,0.0,37,10,61,2000,8.0,True,True,PASS,0.024403468575615955,0.014178261320026956,0.07397119263245673,1.0,0.0,33,10,61,2000,7.0,True,True,PASS,0.02538869860544329,0.014633615710331538,0.07624533778199202,1.0,0.0,25,10,61,2000,6.0,True,True,PASS,50.0
p_q036_s40_x50_g25_r304729,seed_repeat_high,36.0,0.25,304729,69.004805,128.00785,1050.42826,50.0,0.0,35966.86127118644,0.018535994863964636,0.014584757329829222,0.019403292020712667,0.015453446032916941,0.022695178881608862,0.017834881553227003,10.0,0.5,0.018535994863964688,0.008710587102398068,0.05663436066278135,1.0,0.0,37,5,60,2000,8.0,True,True,PASS,0.019403292020712743,0.008040863701973575,0.06110257895969983,1.0,0.0,33,5,60,2000,7.0,True,True,PASS,0.022695178881608918,0.008684350236695379,0.06896771164181362,1.0,0.0,25,5,60,2000,6.0,True,True,PASS,50.0
