Q_MW,xi_h,coarse_chid,medium_chid,fine_chid,deltaT_peak_coarse_C,deltaT_peak_medium_C,deltaT_peak_fine_C,deltaT_peak_relative_mf,curve_nrmse_mf,peak_position_difference_mf_m,A_global_medium,A_global_fine,A_global_difference_mf,hrr_medium_kW,hrr_fine_kW,hrr_relative_difference_mf,reverse_divergence,reverse_divergence_fields,status
18.0,5,p_q018_s40_x50_g50m18_r104729,p_q018_s40_x50_g25_r104729,p_q018_s40_x50_g20_r104729,494.6650668333334,649.4814918032789,744.7018083606557,0.12786368381055688,0.03458814824463192,0.0,0.016747034910731137,0.017942719268535502,0.001195684357804365,17992.503278688524,17979.636716666668,0.0007156185758708488,False,,FAIL
18.0,4,p_q018_s40_x50_g50m18_r104729,p_q018_s40_x50_g25_r104729,p_q018_s40_x50_g20_r104729,494.6650668333334,649.4814918032789,744.7018083606557,0.12786368381055688,0.03657561800042125,0.0,0.01688544578468527,0.01870667520989901,0.0018212294252137398,17992.503278688524,17979.636716666668,0.0007156185758708488,False,,FAIL
18.0,3,p_q018_s40_x50_g50m18_r104729,p_q018_s40_x50_g25_r104729,p_q018_s40_x50_g20_r104729,494.6650668333334,649.4814918032789,744.7018083606557,0.12786368381055688,0.04195288619479689,0.0,0.01829568313440113,0.02280266805860806,0.004506984924206932,17992.503278688524,17979.636716666668,0.0007156185758708488,False,,FAIL
36.0,5,p_q036_s40_x50_g50m18_r104729,p_q036_s40_x50_g25_r104729,p_q036_s40_x50_g20_r104729,921.7628008196722,1005.6663427868853,1097.1420516666665,0.08337635836746995,0.029563099505811995,0.0,0.04610615712595938,0.01669853061721438,0.029407626508744997,35993.36583333334,35981.404116666665,0.00033244163090154265,False,,FAIL
36.0,4,p_q036_s40_x50_g50m18_r104729,p_q036_s40_x50_g25_r104729,p_q036_s40_x50_g20_r104729,921.7628008196722,1005.6663427868853,1097.1420516666665,0.08337635836746995,0.03124693640724174,0.0,0.04738200142894214,0.017428470599095237,0.029953530829846902,35993.36583333334,35981.404116666665,0.00033244163090154265,False,,FAIL
36.0,3,p_q036_s40_x50_g50m18_r104729,p_q036_s40_x50_g25_r104729,p_q036_s40_x50_g20_r104729,921.7628008196722,1005.6663427868853,1097.1420516666665,0.08337635836746995,0.03584294764548943,0.0,0.05326197117964027,0.019875830862104905,0.03338614031753537,35993.36583333334,35981.404116666665,0.00033244163090154265,True,A_global_xi3,FAIL
