chid,job_attempt_id,accepted_for_stage2,analysis_status,target_hrr_kW,t_end_s,hrr_tail_mean_kW,hrr_closure_rel_error,quasi_steady_start_s,quasi_steady_end_s,average_window_start_s,average_window_end_s,enthalpy_flux_criterion,wall_clock_s,output_bytes,total_file_count,smv_field_ref_count,missing_field_ref_count,slice_file_count,boundary_file_count,s3d_file_count,s3dd_file_count,end_marker_present,fds_revision,input_sha256,out_sha256,devc_sha256,hrr_sha256,smv_sha256
p_q018_s40_x50_g25_r104729,p_q018_s40_x50_g25_r104729_a01,True,PASS,18000,300,17996.75593548387,0.00018022580645164353,137.0073,197.00306,137.0073,197.00306,UNCHECKED_NO_FIELD_DATA,5950.949,818675928,913,378,0,357,21,63,21,False,FDS-6.10.1-0-g12efa16-release,65516361483efaa942ce12b6ef96bf25984cb82616bd30db3e475583d438c7e6,181e127921e530418429d946621f287fd7325a1050a5c9827f9e7b27f581b7f6,6b898b959dc646dedfb31e12a26d709a4013533fe8f585351346b5a80effcf94,84ee497da12a0536a260726fe079852c6e37f7c1d1f3a2b5ee9b40abec86ad8e,f18cb8cf369e1d4a4b825ccd9d964055c9abd071ca740b8b2021e29542b70162
p_q036_s40_x50_g25_r104729,p_q036_s40_x50_g25_r104729_a01,True,PASS,36000,300,35962.37629032258,0.0010451030465950073,103.00653,163.00434,103.00653,163.00434,UNCHECKED_NO_FIELD_DATA,6880.171,903121601,913,378,0,357,21,63,21,False,FDS-6.10.1-0-g12efa16-release,1e7e0f863acfd27d27b9aa9a9bc013402593e240eaa1ef74d6ed70008507c1bb,2801bf259277a48846afa717d7a5b019d636a8b4c68ca0e84f2b752c9c0d0787,824dc213762c7d4f2f9bc8309c62ac66136f02961e7be88b2bd427a5a32cc359,dd2d29030a49cd0d7abbc5e24ae68fddb7d4229bd526720a6a93e89c6b38ecc8,b5ccc93f02e6e5d4657aaed651122b45be2173392f5874e5b8df847bd239a2c7
