chid,run_chid,job_attempt_id,case_kind,status,fds_version,version_match,t_end_s,devc_t_final_s,hrr_t_final_s,error_count,warning_count,rejected_count,burner_issue,required_devc_ok,required_hrr_ok,time_series_ok,hrr_nonzero,target_hrr_kW,tail_hrr_kW,hrr_closure_rel_error,end_marker_present,out_completed_successfully,full_field_present,issues
p_q027_s45_x40_g25_r104729,p_q027_s45_x40_g25_r104729,p_q027_s45_x40_g25_r104729_a01,fire,PASS,6.9.1,True,300.0,300.0,300.0,0,0,0,False,True,True,True,True,26999.325,26967.777225806454,0.0011684652928747848,False,True,True,
p_q027_s45_x50_g25_r104729,p_q027_s45_x50_g25_r104729,p_q027_s45_x50_g25_r104729_a01,fire,PASS,6.9.1,True,300.0,300.0,300.0,0,0,0,False,True,True,True,True,26999.325,26985.82164516129,0.0005001367567045083,False,True,True,
p_q027_s45_x60_g25_r104729,p_q027_s45_x60_g25_r104729,p_q027_s45_x60_g25_r104729_a01,fire,PASS,6.9.1,True,300.0,300.0,300.0,0,0,0,False,True,True,True,True,26999.325,27011.25029032258,0.0004416884615663096,False,True,True,
