model_id,peak_model,shape_model,outer_parent_count,peak_relative_error_median,peak_relative_error_p90,curve_nrmse_median,curve_nrmse_p90,pi90_coverage,mean_parent_correlated_nll,constraint_pass_fraction,worst_parent_curve_nrmse
M0_S1,M0,S1,9,0.09043622489469343,0.19430951156871698,0.056050899460109306,0.07157230588711097,0.9843329043329043,178.6917193160687,1.0,0.09207578309419744
M0_S2,M0,S2,9,0.09043622489469343,0.19430951156871698,0.10349698749118327,0.16490426477408365,0.9640383240383241,199.61758388345044,1.0,0.19187542482664965
M0_S3,M0,S3,9,0.09043622489469343,0.19430951156871698,0.05384142591336359,0.07040241332215737,0.9871128271128272,178.43801811884416,1.0,0.09249047222497882
M1_S1,M1,S1,9,0.04339480750953149,0.11208444792254081,0.03266079464186925,0.04479302798945935,1.0,175.90677034246647,1.0,0.044845116713793466
M1_S2,M1,S2,9,0.04339480750953149,0.11208444792254081,0.10562721611767376,0.13118905276454973,0.9827198627198628,200.24224472796251,1.0,0.1453027326992529
M1_S3,M1,S3,9,0.04339480750953149,0.11208444792254081,0.029666198854410835,0.044242666800165274,1.0,175.66261425617532,1.0,0.049108587217963594
